group,factor,factor_name,variant,factor_key,target,target_name,horizon_days,mean_rank_ic,median_rank_ic,ic_std,newey_west_tstat,positive_ic_rate,valid_ic_days,eligible_dates,valid_day_ratio,observations
F1–F6,F1,F1 转账金额放大,连续值,f1_value,max_gain,窗口最大涨幅,1,0.058590,0.054945,0.289954,2.928236,0.545455,209,209,1.000000,2656
F1–F6,F1,F1 转账金额放大,连续值,f1_value,max_gain,窗口最大涨幅,3,0.058163,0.038462,0.273295,2.300022,0.541063,207,207,1.000000,2630
F1–F6,F1,F1 转账金额放大,连续值,f1_value,max_gain,窗口最大涨幅,5,0.037637,0.005495,0.271979,1.281134,0.512195,205,205,1.000000,2604
F1–F6,F1,F1 转账金额放大,连续值,f1_value,max_gain,窗口最大涨幅,7,0.026685,0.000000,0.263140,0.816695,0.497537,203,203,1.000000,2578
F1–F6,F1,F1 转账金额放大,连续值,f1_value,max_gain,窗口最大涨幅,14,-0.005187,-0.012372,0.273322,-0.131803,0.489796,196,196,1.000000,2487
F1–F6,F1,F1 转账金额放大,连续值,f1_value,max_gain,窗口最大涨幅,30,-0.038569,-0.076923,0.266367,-1.165626,0.400000,180,180,1.000000,2279
F1–F6,F1,F1 转账金额放大,连续值,f1_value,mean_close_deviation,窗口平均收盘偏离,1,-0.000216,0.000000,0.281342,-0.011124,0.497608,209,209,1.000000,2656
F1–F6,F1,F1 转账金额放大,连续值,f1_value,mean_close_deviation,窗口平均收盘偏离,3,-0.017652,-0.054945,0.263216,-0.775149,0.410628,207,207,1.000000,2630
F1–F6,F1,F1 转账金额放大,连续值,f1_value,mean_close_deviation,窗口平均收盘偏离,5,-0.033924,-0.054545,0.271461,-1.337270,0.429268,205,205,1.000000,2604
F1–F6,F1,F1 转账金额放大,连续值,f1_value,mean_close_deviation,窗口平均收盘偏离,7,-0.040244,-0.060440,0.275759,-1.415405,0.408867,203,203,1.000000,2578
F1–F6,F1,F1 转账金额放大,连续值,f1_value,mean_close_deviation,窗口平均收盘偏离,14,-0.048717,-0.041209,0.269867,-1.506817,0.454082,196,196,1.000000,2487
F1–F6,F1,F1 转账金额放大,连续值,f1_value,mean_close_deviation,窗口平均收盘偏离,30,-0.059418,-0.045455,0.257810,-1.440010,0.383333,180,180,1.000000,2279
F1–F6,F1,F1 转账金额放大,连续值,f1_value,volume_price_confirmation,同日量价确认,1,-0.053298,-0.057916,0.303327,-2.466277,0.443878,196,209,0.937799,2493
