symbol,sample_group,chain,address,sent_transfer_count,received_transfer_count,max_sent_amount,max_received_amount,first_transfer_date,last_transfer_date,local_labels,local_entities,local_is_cex,high_impact_transfer_count,arkham_status,arkham_entity,arkham_label,arkham_is_cex,arkham_reviewed_at,path_status,minimum_cex_hops,cex_destination,evidence_tx_hashes,notes
BIRB,样本内,solana,11111111111111111111111111mintburn,1,0,1000000000.0,0.0,2026-01-16,2026-01-16,,,false,1,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,11o81v2EompoVNd4YDmwFJuHPqe4t3FZpA3uWDNYUce,0,1,0.0,3977.26,2026-07-02,2026-07-02,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,12RXJVJiVXrcBt3Ed8EeBE3ahnX4Zn57qh454Ju1Riuv,2,8,1229.0,6234.21,2026-01-30,2026-05-07,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,12eAjhASgwW7SPAJyTxYTGbfMrzudKPRH9irLHUedR86,0,1,0.0,951.93,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,12mUq4vRnX7cEQCvabBv5eFA9wNuJCYsRDVM5hNdKoLb,0,4,0.0,0.995913,2026-02-03,2026-03-18,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,13VBXL532QgjYVYCmGcW43rNFrnAdjhQJNd2MBULpNwm,1,0,7210.060183,0.0,2026-02-04,2026-02-04,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,146C9TH3krAwtedPTDo2wz6o6NfkfsReWev35QYKrnYz,2,4,124985.0,499900.0,2026-04-22,2026-07-02,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,14BPKZ546i9nNaeJvmcyvg1hjZLu47bufP9qHNDgvTj2,1,0,5100.0,0.0,2026-02-03,2026-02-03,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,14FwyW2SZjFf9Ner3z17oMnVEVDzWG7FLM6kDeYj4bD1,0,1,0.0,951.93,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,14G29DXzt7wvrVhbpWQArR96BgB6ZVPfN9diu4EDzc5r,1,1,2782.0,2778.0,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,14QefHs8kBCriNMUGFd8G36prJtPx6YtYSdZVmUerkiu,0,16,0.0,44896.58924,2026-02-04,2026-02-09,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,14XwiuaGpEZqLhQp2LrRcQTQg4tpATTSY2nQRPYNUF9F,0,2,0.0,3399.0,2026-06-30,2026-06-30,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,14ZLSCpxnC6TBFYQpVKXCzHimAua3RAec8kbXHUTg4Pp,2,11,3631.0,7095.1,2026-01-31,2026-03-02,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,1GiJtqhQHTTKLq5S9gSJ3gtnp3UzQ41g1Hn9nkKHY3x,1,0,26.0,0.0,2026-02-03,2026-02-03,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,1fMEsE72XmbFzBQf1p9GL2vCueYVaqrNkPZRJ5PqSZg,0,1,0.0,1903.87,2026-07-01,2026-07-01,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,21QQ4sf2Q7FZLKRSj6dnUHRx8QpS2zR1ofmpL8gwCqPy,1,0,2872.0,0.0,2026-01-30,2026-01-30,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,21ZTHKLGuoXgXkWWFkcMsZsdkVaSCDJ9cYUErw78RW69,0,1,0.0,1188.55,2026-07-05,2026-07-05,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,222kuA21PHp4GN8TTv52Ek1KuFXE7kXUa4GSCW6HxGKV,62,2,3286647.0,5695436.0,2026-05-28,2026-06-29,,,false,2,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,22uY7N9ZfqHXLcv3rExowhFFtc948aFdbmxzE2YJRUoh,37,0,310895.6979,0.0,2026-02-03,2026-07-21,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,22yYfx4WKXcJoqD2PMoGtgQMN93nNJZwdB9ZWeCgJMcw,0,2,0.0,54521.0,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,23Es1n8VPzQUp5g1Fr2VYTXCJDmp2Aqnk1rj3Bt7DZJj,0,2,0.0,9393.669812,2026-02-07,2026-02-08,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,247bqyC9Hr4bhXKPWDrREXQAx97AA5CYeDPXM5PbbHtj,0,1,0.0,95522.0,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,258VQKRFGoNbRQ5S1hRxDepz5WxAtgQpMEXFaPjxR2Ey,7,16,13117.07,13117.07,2026-01-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,261ipQMRxy5SkDDXpqKBCDpRXebrf7xCQcwDPdKH1SDu,1,2,49781.0,46098.0,2026-07-12,2026-07-12,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,26h4dcPTv5ZUewthXwH6cMTPc2SGvwgVr6bDS1CdJrMV,3,0,36247.0,0.0,2026-02-03,2026-02-03,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,26oupfYyPFyj85njqD1bQSEC2Ud1LYvXfe4wSVtEXw3o,0,2,0.0,2300000.0,2026-02-03,2026-02-03,,,false,1,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,26yWCJqQ2Qip3hfR1w3DCYZb4z8diNBxgcihn7dF7Svr,0,1,0.0,645.85,2026-07-24,2026-07-24,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,27yPadHdEtmsf9exDyVrdAhFbWY8V9TK9VXK6N8DtZLW,1,1,11.0,11.0,2026-07-08,2026-07-08,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,287RKoLFCoJNtDHDpnHBdF8vnskgvE6YSsQrWSq7W9o7,0,6,0.0,885.960744,2026-02-03,2026-03-10,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,296n8MQcBz1BbebeMxbF435WTJiQ8BoF1A3ybMGH29Qe,0,2,0.0,3004.0,2026-02-03,2026-02-04,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2A4wZgxGcjpLkhV4AGmCwHpX9JDu6wZ1MQZW679NoMfZ,0,1,0.0,1070.24,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2AHxWnsGh5FLARi8hWp4L7V86bycUaSosPB61koWpjZ3,1,8,196.0,2980.81,2026-01-30,2026-05-19,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2BJW4WYFHPmotwpufASQTof9SUWJwdYS3FAitkRaJ7tU,8,14,3280.0,3815.98,2026-01-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2CN9wmXamTaqpXEeHwD5aC6mwvFxvaoKgZgWcj2nHh86,1,12,1000.0,4093.51,2026-01-29,2026-03-02,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2D9ZeSbNeKjQrruVPZHgHXDZjwjZwhc95yBRYcijLDmZ,1,0,291.0,0.0,2026-06-30,2026-06-30,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2FpJEFGoDNjapfNChPa92VA9wcemFwpP8Vgd27sdANsw,0,1,0.0,1110.0,2026-06-30,2026-06-30,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2GYGcQa9qLzrKpaCHuLa6GMVYzHiYjxUQRFbe4yy1xJw,0,1,0.0,2371.62,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2GecpzJVJTbQvywxAAzwLNYN7vn8o2FS6zoH5scVNVGm,0,1,0.0,951.93,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2GrQ1gS6RetGDoDTq8CGGXi9oS7xTJjTEYSU9CHKx6Yt,0,1,0.0,1188.55,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2JRfZob4RCXceqwJiTqLqvhX5dtih1aHiYPBCZc9qVqb,0,1,0.0,16177.46,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2Kkf1BmuBeqE1QKDUFDCVV448wTj8Zg19cyixFD1tUT2,0,1,0.0,1188.55,2026-07-09,2026-07-09,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2L9FseALetGRWuLs1ZRmPFKkCMCXzPmD6iRV9Nbzvw1T,0,2,0.0,1409.0,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2LNg9MPMdBeZMtrFCNmQ4aBM37Mie826YaTCACCJVkEa,1,1,4399.0,4399.28,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2LYMPH1EY2bWKvdvEmzrZk19QjvuNmA94S2SMdsUMMbQ,0,11,0.0,1411.33,2026-01-28,2026-07-22,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2LiDUXL1haXJRLzhdjEphQB2R4CjPrBGWihd3rjUXQK6,0,4,0.0,951.93,2026-03-29,2026-07-02,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2MhHN5wZvxYvrPPHcDx6Mc2uGXy8rTe8Sd8ymNpvQEVW,0,2,0.0,178.0,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2MkJJ62A5VijETziGWeXhCZK9VqPNiZRGTaxxnr2Aadk,0,1,0.0,951.93,2026-07-02,2026-07-02,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2MuxjECjc9jmfq7XKz7Q3h3VkhsdFi1YsLc6zXTV2ZWQ,0,1,0.0,9519.37,2026-07-02,2026-07-02,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2NBVPyxYQPPG7cUPTnPCKmHoA5f4K7o4UvaQvn8jrZGk,0,1,0.0,118.3,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2PB4JoqnkPfEzKFZoG8mwqizodXbe5RhJzxWHq4Y31ix,1,0,69.01511,0.0,2026-06-22,2026-06-22,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2PNTx84S8kh8Fvj4Pc2FVt8X7BKfgjvwzpBNhyfQNNqF,1,1,1070.0,951.93,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2PbVJnbqR7tg77umUUa7JzMHvZrYAEAC4d5TY9j9zgZb,1,0,513.0,0.0,2026-02-03,2026-02-03,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2Q5dC2PpNQQpPEP7pnAjFu4WF5Ehb2TMKxLGmjMspbKE,0,1,0.0,1070.24,2026-07-02,2026-07-02,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2QTzhQmA41wXkAVVxVow9qK7EMXaRAixE4hRgvkSLqGc,0,1,0.0,236.61,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2QeNe2UzC3p9t8SHDhQBN5KNSysv1xWvnrwvrGtQ3ZuW,0,1,0.0,951.93,2026-06-29,2026-06-29,,,false,0,pending_web_review,,,,,pending,,,,
BIRB,样本内,solana,2RViibfWyyhwtZ8oYz9Ss49oz1S7TibTRzgP2No4NVx3,1,1,47.0,47.0,2026-07-05,2026-07-05,,,false,0,pending_web_review,,,,,pending,,,,
