symbol,sample_group,date,chain,amount,cluster_amount,impact_threshold_0_1pct,from_address,to_address,tx_hash,local_structure,local_direction,arkham_path_status,minimum_cex_hops,cex_destination,cex_amount,evidence_path_tx_hashes,reviewed_at,notes
EVAA,样本外,2025-09-29,bsc,24999999.0,13364798.78311417,13364.79878311417,0xb8b370e5fe46c1e010023c8b2d7f4bc743f03426,0x0a91a3766922334f8ac61a45a72cb4bf44a23274,0x198cd302207e32388e8537ed5467b656c9003d18457d93878072f291d35c1544,Cluster与外部,外部流入Cluster,pending,,,,,,
EVAA,样本外,2025-10-01,bsc,23084999.0,13364798.78311417,13364.79878311417,0x0a91a3766922334f8ac61a45a72cb4bf44a23274,0x661213676eac8a7c0f0051ba1e979eb14b448548,0x91c990c7c20f99df5a0c6dfd8a8e84b07dadee6cc172e75a7719fd329c2f82f8,Cluster与外部,Cluster流出,pending,,,,,,
VELVET,样本内,2025-07-09,bsc,1000000000.0,825070383.682909,825070.3836829091,0x0000000000000000000000000000000000000000,0x579d36cce78af5664e26d6b858119625e1b9116a,0xab6f18e3537a7a976f871b259cf0c7da783c3c852b88335ff552c9f46f3aff71,Cluster与外部,外部流入Cluster,pending,,,,,,
BIRB,样本内,2026-01-16,solana,1000000000.0,991047214.182559,991047.214182559,11111111111111111111111111mintburn,AwRwpCB1rTTbs1LCFm2NgmvDWwk2SPuPLsV7mCVQuQ9f,2zTyxdGzu6tZSfHyXhJ1JJX3D6awaQL69mue6uMWr6ABSHKYSVHaxJUqtxPYjjd3iBhhxzniUkSYcL8JJsopxPp5,Cluster与外部,外部流入Cluster,pending,,,,,,
GWEI,样本外,2026-01-17,bsc,199999999.0,233527447.4228858,233527.4474228858,0x0000000000000000000000000000000000000000,0x3b2829aa5e1b72fea9fdf9a936dc1c8f3fb16f57,0xba4fee92860488859c1d80d49d9009d8f41e6195181e417033397ad3354f3879,Cluster与外部,外部流入Cluster,pending,,,,,,
GWEI,样本外,2026-01-20,bsc,149999999.0,233527447.4228858,233527.4474228858,0x0000000000000000000000000000000000000000,0x3b2829aa5e1b72fea9fdf9a936dc1c8f3fb16f57,0xeb1cf11a5667fbe54817df929de47d1d738fceb363a33a989e4eec028b9eb962,Cluster与外部,外部流入Cluster,pending,,,,,,
EVAA,样本外,2026-02-07,bsc,8249999.499999999,13364798.78311417,13364.79878311417,0x483ae586938ae02e3e179a27f0489d4a6bc5c36d,0x946328789ce1f4fc12addef7f27e49a5cfb35c8c,0x8f08680ae236897fc942e6678d3b50be96bdcab9bb38649ef03a8b5d4cf7a824,同一Cluster内部,内部调仓,pending,,,,,,
EVAA,样本外,2025-10-03,bsc,8249999.0,13364798.78311417,13364.79878311417,0x1d9ddf324bbab896bf9708c09decb9b4dbbd9b4b,0x483ae586938ae02e3e179a27f0489d4a6bc5c36d,0x5287c8cafc5cba7be147abd795e1f0d18e73d33e468f4ee3c1f9d2f0a38acd25,Cluster与外部,外部流入Cluster,pending,,,,,,
ESPORTS,样本外,2025-07-17,bsc,437000000.0,782465328.0043163,782465.3280043163,0x6e7b9fb1fefa0fcc5419d862f4d0e1e95fbbf04d,0x49a0c2366936b115d6877438175ee4b97d6dab7c,0x5647ac1a7dc76cbc2a4b05302c662abaecc5351d622c9084b47fca573ffde5ac,Cluster与外部,外部流入Cluster,pending,,,,,,
CLO,样本外,2026-04-06,bsc,97413499.989,190989512.16788206,190989.51216788206,0x0000000000000000000000000000000000000000,0x5ecee36e21853a24ecea18b66b548598c3ea7781,0x611a4c60f39b908df7115c2bcbb35339e1b4ed44bb32887a83019f6ec0e277b7,Cluster与外部,外部流入Cluster,pending,,,,,,
