symbol,date,chain,amount,from_address,to_address,tx_hash,arkham_entity,arkham_label,is_exchange,label_status
RAVE,2026-04-21,eth,20000000,0x0a1f07993a51cceb4f52ca67765aeceadda790d7,0xe077490da8d210a155ea391312a964ca4d4b690b,0x0c1b4dd947cf83d7505e23bf63909cc5a0ee3c76297cce6605990178c523a44a,Bitget,"Unlabeled intermediary -> Bitget Deposit (0x34E); same 20M RAVE forwarded in tx 0x3197c3d3f14df75a6d1d87b9a54937ab94a915ad370080afa0308c9e8f09f43c",indirect_one_hop,labeled_web
BIRB,2026-03-04,solana,6705935.51,Ahe9AL4RQFU6DiuqLBctokfv2YDRqxoNNPL6KM4vWC1V,9s4HYNtMC8ruZzPFZo4rpvDbKevAvAgp2gcYMw3cCSyd,422MpNEpkDPsXUf7yZcFda2zdvVHepC42qyLtdPoJdWScD9rUgqntzJ85t4ZxadBhVSct3wmEntpE4LzKDGnk72F,Unknown,"Arkham address is unlabeled; original 6.706M BIRB transfer verified; no exchange label found in visible 115-transfer snapshot",no_direct_exchange_observed,labeled_web
BIRB,2026-05-06,solana,9354005.2763,Ahe9AL4RQFU6DiuqLBctokfv2YDRqxoNNPL6KM4vWC1V,HTnHiBffyYUxPLqKHmWyiHTTDhj9Rukn6SCX3AZobYD3,3sXAiEuyXvfgtJyEWPevReeyjcnncWNufh1fCVrjMXNzbmbK5YvNkWDrMRCGEhwYnVeSSUFtnJDoGjFCmLVGivgm,Unknown,"Arkham address is unlabeled; no exchange label in visible 90-transfer snapshot; later 4.136M BIRB returned to source address Ahe9AL...",no_direct_exchange_observed;labeled_return_path,labeled_web
BIRB,2026-06-05,solana,9191366.5,Ahe9AL4RQFU6DiuqLBctokfv2YDRqxoNNPL6KM4vWC1V,B39ryVvh3sKU1A3A9SU6FaT5PF8sJ8mkVmXbh2FuSimw,tYvWaXu2bgTQwWHZ4DARVJfg8a9jHah3xVG9ANq64Xz2dooMCjnmLeuaRQC2voYCCfqbXs1VCE3sND86S9Pe3kL,Unknown,"Arkham address is unlabeled; no exchange label in visible 78-transfer snapshot; later 4.802M BIRB returned to source address Ahe9AL...",no_direct_exchange_observed;labeled_return_path,labeled_web
BIRB,2026-07-10,solana,6600000,95NeynbGtEjMcaLo8igg75przKhACdGgwq38R98mRS6y,4kBPueDUQ3wywF7vw8BHPePvjXqFZAConwexeoF5vsQR,2TsZwMKv4f7MP3nyZf6tSTwN7MWqTGQy24jB5RNRqaSMZ1yVZFD1SS26v9Cma7y9LLShJWA8rTSLvDUePcBhAUZE,"Bitget; Bybit","Unlabeled intermediary; visible post-event transfers include 406551 BIRB to Bitget deposits and 445637 BIRB to Bybit deposits (852188 BIRB total)",indirect_one_hop,labeled_web
DEXE,2026-02-06,bsc,493771,0xbe8cb128fbcf13f7f7a362c3820f376b0971b7b2,0x9c34bd53d470c1a2c358595712627a26a946de09,0x5d3654a8f925a0c43d11e6e0da1e39c37910b57c1e45e0a699795effdd7a5615,Gnosis Safe / DeXe contracts,"Unlabeled intermediary received 493.771K DEXE from DeXe GovUserKeeper and sent 510.217K DEXE to a Gnosis Safe Proxy; exchange usage tables are empty",no_project_internal_or_safe_path,labeled_web
DEXE,2026-02-13,bsc,490412,0xbe8cb128fbcf13f7f7a362c3820f376b0971b7b2,0x7b4e8ccfeefaf5d8baf5d12a56b4fd678bfd24ab,0xbdee168074781fb06c2d7eda08e1d3c1e5be551ecedd3d7e94a7e141a5b4a278,Gnosis Safe / DeXe contracts,"Unlabeled intermediary received 490.412K DEXE from DeXe GovUserKeeper and sent 506.72K DEXE to a Gnosis Safe Proxy; no exchange label observed",no_project_internal_or_safe_path,labeled_web
DEXE,2026-07-27,bsc,403184,0xbe8cb128fbcf13f7f7a362c3820f376b0971b7b2,0x30a1fdd1510069b671f82aa405f6fd8c3aa6e944,0x9675a465253c7a5d1ef57b339b56ce1a7037d46749adc0fab339edb290326d73,"Wormhole; Unknown","Unlabeled intermediary; after the 403.184K DEXE receipt it sent 281.327K to 0xF02B... and later bridged 136.066K through Wormhole (92.877K + 43.189K); no exchange deposit observed",no_bridge_and_unknown_path,labeled_web
ESPORTS,2026-03-14,bsc,68900000,0x49a0c2366936b115d6877438175ee4b97d6dab7c,0xedde9d31eccfb48d1d3405f71c81a41029a3a0f1,0x62574c3abcbe9c11c8e091364626d44176e315554cf6e32e4046da6ee14b74e2,PancakeSwap,"Destination is unlabeled; visible ESPORTS outflows include about 129.581K ESPORTS to PancakeSwap V3 pools; Binance/Bitget usage on the address is for USDC or other assets, not ESPORTS",no_cex_dex_only_observed,labeled_web
ESPORTS,2026-05-27,bsc,26333333,0x49a0c2366936b115d6877438175ee4b97d6dab7c,0x0bf823c5b1a6ebd0ffecd2c012f354dd094c95cb,0x901c84e1e80890cf7a024378bb1230be23ee73e6cea7c8cb0b45a9facd00a27e,"PancakeSwap; Unknown","The 26.333M ESPORTS was fully forwarded as 10M + 16.333M to 0x7D11...; that downstream address shows only a small 4.913K ESPORTS PancakeSwap transfer and no ESPORTS exchange deposit",no_cex_multihop_dex_only_observed,labeled_web
ESPORTS,2026-06-21,bsc,13333333,0x49a0c2366936b115d6877438175ee4b97d6dab7c,0x0bf823c5b1a6ebd0ffecd2c012f354dd094c95cb,0x3e89ac3d1d20430f0c48e943a792c54b14ed8f8d0d3a8935e7d9a178f187eb56,Kraken,"The 13.333M ESPORTS was fully forwarded to 0x1Fae...; that address split the balance across several wallets and sent 1.526M ESPORTS directly to Kraken Deposit (0xC49)",indirect_two_hop,labeled_web
