variant,variant_name,factor,factor_name,horizon_days,mean_rank_ic,median_rank_ic,ic_std,newey_west_tstat,positive_ic_rate,valid_ic_days,eligible_dates,valid_day_ratio,observations
value,连续值,net_inflow_share,F7a CEX净流入强度,1,-0.009363,-0.003355,0.280789,-0.482053,0.475962,208,209,0.995215,2648
value,连续值,net_inflow_share,F7a CEX净流入强度,3,-0.016582,-0.011409,0.262433,-0.711544,0.466019,206,207,0.995169,2622
value,连续值,net_inflow_share,F7a CEX净流入强度,5,-0.017443,0.000000,0.244923,-0.690756,0.485294,204,205,0.995122,2596
value,连续值,net_inflow_share,F7a CEX净流入强度,7,-0.023794,-0.002987,0.242557,-0.843377,0.470297,202,203,0.995074,2570
value,连续值,net_inflow_share,F7a CEX净流入强度,14,-0.019489,-0.011546,0.258341,-0.483432,0.469388,196,196,1.000000,2487
value,连续值,net_inflow_share,F7a CEX净流入强度,30,-0.046273,-0.029724,0.271726,-0.759237,0.472222,180,180,1.000000,2279
value,连续值,net_outflow_share,F7b CEX净流出强度,1,-0.034114,0.000000,0.301953,-1.629411,0.492754,207,209,0.990431,2630
value,连续值,net_outflow_share,F7b CEX净流出强度,3,-0.060051,-0.059732,0.298783,-2.100920,0.429268,205,207,0.990338,2604
value,连续值,net_outflow_share,F7b CEX净流出强度,5,-0.083969,-0.059515,0.278931,-2.687742,0.408867,203,205,0.990244,2578
value,连续值,net_outflow_share,F7b CEX净流出强度,7,-0.095493,-0.084234,0.272028,-2.876574,0.373134,201,203,0.990148,2552
value,连续值,net_outflow_share,F7b CEX净流出强度,14,-0.134700,-0.134616,0.271199,-3.571202,0.298969,194,196,0.989796,2461
value,连续值,net_outflow_share,F7b CEX净流出强度,30,-0.122935,-0.082039,0.289554,-2.135020,0.393258,178,180,0.988889,2253
value,连续值,signed_net_share,F7c CEX有符号净流,1,0.026251,0.009397,0.295569,1.287088,0.516746,209,209,1.000000,2656
value,连续值,signed_net_share,F7c CEX有符号净流,3,0.041224,0.037566,0.281699,1.541856,0.570048,207,207,1.000000,2630
value,连续值,signed_net_share,F7c CEX有符号净流,5,0.054972,0.044200,0.261155,1.923059,0.590244,205,205,1.000000,2604
value,连续值,signed_net_share,F7c CEX有符号净流,7,0.057749,0.064439,0.255068,1.893497,0.581281,203,203,1.000000,2578
value,连续值,signed_net_share,F7c CEX有符号净流,14,0.091578,0.106180,0.259450,2.236300,0.653061,196,196,1.000000,2487
value,连续值,signed_net_share,F7c CEX有符号净流,30,0.065355,0.067308,0.283987,1.057836,0.588889,180,180,1.000000,2279
trigger,异常触发,net_inflow_alert,F7a CEX净流入异常,1,0.087621,0.134132,0.297028,3.298238,0.572581,124,209,0.593301,1588
trigger,异常触发,net_inflow_alert,F7a CEX净流入异常,3,0.083142,0.134132,0.288091,2.579516,0.581967,122,207,0.589372,1562
trigger,异常触发,net_inflow_alert,F7a CEX净流入异常,5,0.081855,0.113961,0.274967,2.165845,0.608333,120,205,0.585366,1536
trigger,异常触发,net_inflow_alert,F7a CEX净流入异常,7,0.085556,0.113961,0.282420,2.097476,0.584746,118,203,0.581281,1510
trigger,异常触发,net_inflow_alert,F7a CEX净流入异常,14,0.088327,0.154303,0.283565,1.531180,0.601695,118,196,0.602041,1505
trigger,异常触发,net_inflow_alert,F7a CEX净流入异常,30,-0.021559,-0.028490,0.282067,-0.345437,0.427273,110,180,0.611111,1401
trigger,异常触发,net_outflow_alert,F7b CEX净流出异常,1,-0.020860,-0.044544,0.297512,-0.835525,0.411348,141,209,0.674641,1782
trigger,异常触发,net_outflow_alert,F7b CEX净流出异常,3,-0.031481,0.000000,0.289054,-0.988751,0.474820,139,207,0.671498,1756
trigger,异常触发,net_outflow_alert,F7b CEX净流出异常,5,-0.067782,-0.077152,0.277683,-1.948205,0.364964,137,205,0.668293,1730
trigger,异常触发,net_outflow_alert,F7b CEX净流出异常,7,-0.073371,-0.089087,0.279198,-1.986846,0.333333,135,203,0.665025,1704
trigger,异常触发,net_outflow_alert,F7b CEX净流出异常,14,-0.075320,-0.087371,0.321504,-1.356755,0.335938,128,196,0.653061,1613
trigger,异常触发,net_outflow_alert,F7b CEX净流出异常,30,-0.034518,-0.048795,0.350850,-0.462549,0.382609,115,180,0.638889,1444
