variant,variant_name,factor,factor_name,horizon_days,mean_rank_ic,median_rank_ic,ic_std,newey_west_tstat,positive_ic_rate,valid_ic_days,eligible_dates,valid_day_ratio,observations
value,连续值,F1,F1 转账金额放大,1,0.058590,0.054945,0.289954,2.928236,0.545455,209,209,1.000000,2656
value,连续值,F1,F1 转账金额放大,3,0.058163,0.038462,0.273295,2.300022,0.541063,207,207,1.000000,2630
value,连续值,F1,F1 转账金额放大,5,0.037637,0.005495,0.271979,1.281134,0.512195,205,205,1.000000,2604
value,连续值,F1,F1 转账金额放大,7,0.026685,0.000000,0.263140,0.816695,0.497537,203,203,1.000000,2578
value,连续值,F1,F1 转账金额放大,14,-0.005187,-0.012372,0.273322,-0.131803,0.489796,196,196,1.000000,2487
value,连续值,F1,F1 转账金额放大,30,-0.038569,-0.076923,0.266367,-1.165626,0.400000,180,180,1.000000,2279
value,连续值,F2,F2 转账笔数放大,1,0.077876,0.087912,0.297976,3.787358,0.593301,209,209,1.000000,2656
value,连续值,F2,F2 转账笔数放大,3,0.052924,0.065934,0.287828,2.024295,0.589372,207,207,1.000000,2630
value,连续值,F2,F2 转账笔数放大,5,0.035094,0.043956,0.289231,1.098249,0.536585,205,205,1.000000,2604
value,连续值,F2,F2 转账笔数放大,7,0.022023,0.018182,0.291099,0.606213,0.527094,203,203,1.000000,2578
value,连续值,F2,F2 转账笔数放大,14,-0.026499,-0.008242,0.286125,-0.593123,0.489796,196,196,1.000000,2487
value,连续值,F2,F2 转账笔数放大,30,-0.035768,-0.008242,0.278641,-0.641799,0.488889,180,180,1.000000,2279
value,连续值,F3,F3 活跃地址扩张,1,0.097235,0.109890,0.279747,5.036984,0.641148,209,209,1.000000,2656
value,连续值,F3,F3 活跃地址扩张,3,0.070935,0.071429,0.272108,2.820488,0.594203,207,207,1.000000,2630
value,连续值,F3,F3 活跃地址扩张,5,0.046751,0.049451,0.271996,1.512245,0.546341,205,205,1.000000,2604
value,连续值,F3,F3 活跃地址扩张,7,0.018916,0.021978,0.273074,0.560522,0.532020,203,203,1.000000,2578
value,连续值,F3,F3 活跃地址扩张,14,-0.030959,-0.016484,0.249590,-0.841345,0.454082,196,196,1.000000,2487
value,连续值,F3,F3 活跃地址扩张,30,-0.020191,-0.016484,0.254323,-0.479759,0.483333,180,180,1.000000,2279
value,连续值,F4,F4 新地址扩张,1,0.029770,0.016575,0.299702,1.439461,0.502392,209,209,1.000000,2656
value,连续值,F4,F4 新地址扩张,3,-0.004618,-0.018349,0.293531,-0.177938,0.468599,207,207,1.000000,2630
value,连续值,F4,F4 新地址扩张,5,-0.031093,-0.019257,0.281344,-1.077484,0.453659,205,205,1.000000,2604
