factor,factor_name,horizon_days,mean_rank_ic,median_rank_ic,ic_std,newey_west_tstat,positive_ic_rate,valid_ic_days,eligible_dates,valid_day_ratio,observations
F5A,F5a 相对历史规模异常,1,0.022391,0.000000,0.282549,1.148401,0.492823,209,209,1.000000,2656
F5A,F5a 相对历史规模异常,3,0.023436,0.000000,0.270155,0.959917,0.492754,207,207,1.000000,2630
F5A,F5a 相对历史规模异常,5,0.019839,0.000000,0.270678,0.719610,0.497561,205,205,1.000000,2604
F5A,F5a 相对历史规模异常,7,0.022197,0.000000,0.272521,0.714658,0.487685,203,203,1.000000,2578
F5A,F5a 相对历史规模异常,14,0.012871,0.000000,0.279666,0.300444,0.489796,196,196,1.000000,2487
F5A,F5a 相对历史规模异常,30,0.016965,0.043401,0.273832,0.389447,0.505556,180,180,1.000000,2279
F5B,F5b Cluster冲击异常,1,0.066689,0.080834,0.291018,3.232690,0.575758,198,209,0.947368,2531
F5B,F5b Cluster冲击异常,3,0.075047,0.060765,0.278659,2.766109,0.566327,196,207,0.946860,2505
F5B,F5b Cluster冲击异常,5,0.051034,0.056980,0.291205,1.519215,0.551546,194,205,0.946341,2479
F5B,F5b Cluster冲击异常,7,0.042298,0.046669,0.295962,1.077471,0.515625,192,203,0.945813,2453
F5B,F5b Cluster冲击异常,14,0.041802,0.044544,0.298720,0.854412,0.502703,185,196,0.943878,2362
F5B,F5b Cluster冲击异常,30,0.038434,0.056980,0.306382,0.687522,0.544379,169,180,0.938889,2154
F5C,F5c 内外部属性异常,1,0.049273,0.056980,0.302182,1.929382,0.525180,139,209,0.665072,1788
F5C,F5c 内外部属性异常,3,0.039177,0.056980,0.309462,1.069008,0.518248,137,207,0.661836,1762
F5C,F5c 内外部属性异常,5,0.026725,0.048795,0.317011,0.623510,0.503704,135,205,0.658537,1736
F5C,F5c 内外部属性异常,7,0.027335,0.000000,0.331847,0.526714,0.473684,133,203,0.655172,1710
F5C,F5c 内外部属性异常,14,0.069137,0.113961,0.344260,0.902671,0.551181,127,196,0.647959,1632
F5C,F5c 内外部属性异常,30,0.030747,0.056980,0.368204,0.378691,0.508772,114,180,0.633333,1463
F5D,F5d 流向异常,1,0.049273,0.056980,0.302182,1.929382,0.525180,139,209,0.665072,1788
F5D,F5d 流向异常,3,0.039177,0.056980,0.309462,1.069008,0.518248,137,207,0.661836,1762
F5D,F5d 流向异常,5,0.026725,0.048795,0.317011,0.623510,0.503704,135,205,0.658537,1736
F5D,F5d 流向异常,7,0.027335,0.000000,0.331847,0.526714,0.473684,133,203,0.655172,1710
F5D,F5d 流向异常,14,0.069137,0.113961,0.344260,0.902671,0.551181,127,196,0.647959,1632
F5D,F5d 流向异常,30,0.030747,0.056980,0.368204,0.378691,0.508772,114,180,0.633333,1463
F5E,F5e 特殊对手方异常,1,0.089579,0.113961,0.284432,3.590962,0.558140,129,209,0.617225,1658
F5E,F5e 特殊对手方异常,3,0.087056,0.097590,0.302570,2.411648,0.574803,127,207,0.613527,1632
F5E,F5e 特殊对手方异常,5,0.062622,0.097590,0.297324,1.487234,0.560000,125,205,0.609756,1606
F5E,F5e 特殊对手方异常,7,0.059051,0.100000,0.319850,1.119981,0.569106,123,203,0.605911,1580
F5E,F5e 特殊对手方异常,14,0.099381,0.154303,0.337606,1.577540,0.606838,117,196,0.596939,1502
F5E,F5e 特殊对手方异常,30,0.104789,0.154303,0.347409,1.711939,0.663636,110,180,0.611111,1411
F5F,F5f 后续路径,1,,,,,,0,209,0.000000,0
F5F,F5f 后续路径,3,,,,,,0,207,0.000000,0
F5F,F5f 后续路径,5,,,,,,0,205,0.000000,0
F5F,F5f 后续路径,7,,,,,,0,203,0.000000,0
F5F,F5f 后续路径,14,,,,,,0,196,0.000000,0
F5F,F5f 后续路径,30,,,,,,0,180,0.000000,0
F5G,F5g 巨额转账持续性异常,1,0.054282,0.113961,0.292690,2.446413,0.572254,173,209,0.827751,2230
F5G,F5g 巨额转账持续性异常,3,0.053486,0.077152,0.294137,1.793825,0.555556,171,207,0.826087,2204
F5G,F5g 巨额转账持续性异常,5,0.035289,0.056980,0.298583,1.046338,0.550296,169,205,0.824390,2178
F5G,F5g 巨额转账持续性异常,7,0.033126,0.048795,0.305931,0.837844,0.526946,167,203,0.822660,2152
F5G,F5g 巨额转账持续性异常,14,0.047659,0.097590,0.312551,0.976811,0.552795,161,196,0.821429,2074
F5G,F5g 巨额转账持续性异常,30,0.040042,0.056980,0.336130,0.684275,0.551020,147,180,0.816667,1892
F5H,F5h 市场位置异常,1,0.092288,0.113961,0.285998,3.445489,0.601770,113,209,0.540670,1461
F5H,F5h 市场位置异常,3,0.072326,0.106980,0.281281,2.155555,0.598214,112,207,0.541063,1443
F5H,F5h 市场位置异常,5,0.054468,0.100000,0.296727,1.368574,0.581818,110,205,0.536585,1422
F5H,F5h 市场位置异常,7,0.029076,0.077152,0.303845,0.654212,0.513761,109,203,0.536946,1404
F5H,F5h 市场位置异常,14,0.059537,0.097590,0.332171,1.134100,0.563107,103,196,0.525510,1326
F5H,F5h 市场位置异常,30,0.060757,0.154303,0.335947,1.119834,0.578947,95,180,0.527778,1227
