train_universe,month,feature,coefficient
new169,2026-02,log_signal_volume_ratio,0.10878518803607334
new169,2026-02,log_flow_to_signal,-0.09110299223983477
new169,2026-02,flow_normal_0_to_5pct,0.07757631327745762
new169,2026-02,flow_normal_above_5pct,0.08854064436730075
new169,2026-02,flow_normal_above_10pct,-0.024376686486660602
new169,2026-02,return_7d,0.050193009793482034
new169,2026-02,return_7d_above_20pct,0.10293654309464498
new169,2026-02,return_7d_above_50pct,0.14322597888802563
new169,2026-02,recent_7d_runup,-0.03674969457559012
new169,2026-02,recent_5x_volume,-0.20097420092934354
new169,2026-02,log_prior7_max_volume_ratio,-0.07288913324482872
new169,2026-03,log_signal_volume_ratio,-0.03228982395988714
new169,2026-03,log_flow_to_signal,-0.05937139414733636
new169,2026-03,flow_normal_0_to_5pct,0.04453505653011844
new169,2026-03,flow_normal_above_5pct,0.15546925551170523
new169,2026-03,flow_normal_above_10pct,0.004159104786966812
new169,2026-03,return_7d,0.06838520019772895
new169,2026-03,return_7d_above_20pct,0.03742558919887443
new169,2026-03,return_7d_above_50pct,0.1024801746390864
new169,2026-03,recent_7d_runup,-0.02960164226766334
new169,2026-03,recent_5x_volume,-0.14808472259874247
new169,2026-03,log_prior7_max_volume_ratio,0.07307241474592605
new169,2026-04,log_signal_volume_ratio,0.04024489330165286
new169,2026-04,log_flow_to_signal,-0.08767547459669409
new169,2026-04,flow_normal_0_to_5pct,0.06768269327254302
new169,2026-04,flow_normal_above_5pct,0.1410027662740192
new169,2026-04,flow_normal_above_10pct,0.06498434704734173
new169,2026-04,return_7d,-0.02912413507229323
new169,2026-04,return_7d_above_20pct,0.09523143641410724
new169,2026-04,return_7d_above_50pct,0.012227499848339443
new169,2026-04,recent_7d_runup,0.04622742032374175
new169,2026-04,recent_5x_volume,-0.15122187914007867
new169,2026-04,log_prior7_max_volume_ratio,-0.1631603074749657
new169,2026-05,log_signal_volume_ratio,-0.08633537067544614
new169,2026-05,log_flow_to_signal,-0.15459684964170042
new169,2026-05,flow_normal_0_to_5pct,0.1606636643101762
new169,2026-05,flow_normal_above_5pct,0.022877357224307157
new169,2026-05,flow_normal_above_10pct,-0.022060034971303526
new169,2026-05,return_7d,-0.08235207758512535
new169,2026-05,return_7d_above_20pct,0.17949290324525824
new169,2026-05,return_7d_above_50pct,-0.14388426795083412
new169,2026-05,recent_7d_runup,0.03162534645053071
new169,2026-05,recent_5x_volume,-0.09252217240505434
new169,2026-05,log_prior7_max_volume_ratio,-0.1639505535280644
new169,2026-06,log_signal_volume_ratio,-0.10108966172639786
new169,2026-06,log_flow_to_signal,-0.15566916933696923
new169,2026-06,flow_normal_0_to_5pct,0.178938446445495
new169,2026-06,flow_normal_above_5pct,0.012573481943086568
new169,2026-06,flow_normal_above_10pct,-0.03174374574499875
new169,2026-06,return_7d,-0.12540701677515728
new169,2026-06,return_7d_above_20pct,0.20491242333636514
new169,2026-06,return_7d_above_50pct,-0.16008246169860818
new169,2026-06,recent_7d_runup,-0.007427901905815399
new169,2026-06,recent_5x_volume,-0.12078393338035234
new169,2026-06,log_prior7_max_volume_ratio,-0.12132554062253019
new169,2026-07,log_signal_volume_ratio,-0.11762344323180339
new169,2026-07,log_flow_to_signal,-0.13303753897161058
new169,2026-07,flow_normal_0_to_5pct,0.185129727908986
new169,2026-07,flow_normal_above_5pct,0.0010446108585475753
new169,2026-07,flow_normal_above_10pct,-0.13655271500489852
new169,2026-07,return_7d,-0.010134543786711634
new169,2026-07,return_7d_above_20pct,0.14023692245739425
new169,2026-07,return_7d_above_50pct,-0.21543441993971657
new169,2026-07,recent_7d_runup,-0.00609496193975947
