train_universe,month,train_completed,test_signals,completed_test,xsec_dates,xsec_observations,mean_rank_ic,rank_ic_ir,positive_ic_rate,mean_top_bottom_return_spread
new169,2026-02,67,62,59,13,49,-0.0543956043956044,-0.07258571718129272,0.46153846153846156,-0.06652754684578446
new169,2026-03,114,81,74,22,65,-0.18636363636363637,-0.24407788851986542,0.4090909090909091,-0.011483812871309035
new169,2026-04,171,95,82,21,78,0.10714285714285714,0.1477611413638262,0.5714285714285714,0.16751086331700063
new169,2026-05,237,77,67,23,61,-0.15217391304347827,-0.17588161767036212,0.391304347826087,-0.033201265300411315
new169,2026-06,301,78,76,18,67,0.028571428571428567,0.04228498863934648,0.5,-0.27377834793296346
new169,2026-07,371,84,66,17,56,-0.017366946778711485,-0.022005260458475295,0.5882352941176471,0.04647417223601243
new169,2026-08,435,3,0,0,0,nan,nan,nan,nan
combined202,2026-02,76,62,59,13,49,-0.10934065934065934,-0.1398476416135217,0.46153846153846156,-0.127947454212331
combined202,2026-03,133,81,74,22,65,-0.25,-0.33661344514809644,0.3181818181818182,-0.06529277046869485
combined202,2026-04,200,95,82,21,78,0.13707482993197279,0.18437157762356943,0.5238095238095238,0.1343395041164598
combined202,2026-05,276,77,67,23,61,-0.08260869565217391,-0.09731696317541609,0.43478260869565216,-0.04712687571342827
combined202,2026-06,348,78,76,18,67,-0.0055555555555555575,-0.00809192860438733,0.5555555555555556,-0.07277674674937018
combined202,2026-07,426,84,66,17,56,-0.11120448179271708,-0.13189036869066584,0.47058823529411764,0.05014586390119451
combined202,2026-08,503,3,0,0,0,nan,nan,nan,nan
