symbol,first_date,last_date,bars,cex_event_days,cex_event_count,signal_episodes,entered_trades,closed_trades,open_trades,win_rate,mean_trade_return,median_trade_return,compounded_trade_return,portfolio_net_pnl_contribution,average_holding_days,entries_per_30_active_days
ZEREBRO,2026-01-01,2026-08-03,215,117,175,1,1,1,0,0.0,-0.10858797767095317,-0.10858797767095317,-0.10858797767095318,-0.015383834571724654,2.0,0.13953488372093023
FHE,2026-01-01,2026-08-03,215,200,425,3,1,1,0,0.0,-0.13835155672533542,-0.13835155672533542,-0.1383515567253354,-0.029578888895286388,3.0,0.13953488372093023
SAPIEN,2026-01-01,2026-08-03,215,273,2391,2,2,2,0,1.0,0.024458764299866303,0.024458764299866303,0.049484901780527446,0.007949300126451314,3.0,0.27906976744186046
TNSR,2026-01-01,2026-08-03,215,116,252,12,3,3,0,0.6666666666666666,0.02241943035109687,0.020231354172913083,0.06791424123176859,0.014709297075466818,5.0,0.41860465116279066
NIL,2026-01-01,2026-08-03,215,151,3864,3,2,2,0,0.5,-0.07163384408630388,-0.07163384408630388,-0.14512137915278045,-0.03481139473172065,3.0,0.27906976744186046
BAS,2026-01-01,2026-08-03,215,62,164,1,1,1,0,1.0,0.26281831081329904,0.26281831081329904,0.2628183108132991,0.06066084844162401,1.0,0.13953488372093023
PIPPIN,2026-01-01,2026-08-03,215,184,447,7,1,1,0,1.0,0.003660527644474426,0.003660527644474426,0.0036605276444743318,0.0006123714387481563,1.0,0.13953488372093023
ALLO,2026-01-01,2026-08-03,215,46,80,0,0,0,0,,,,,0,,0.0
TRADOOR,2026-01-01,2026-08-03,215,63,111,2,0,0,0,,,,,0,,0.0
CROSS,2026-01-01,2026-08-03,215,96,210,1,0,0,0,,,,,0,,0.0
BICO,2026-01-01,2026-08-03,215,481,4577,3,0,0,0,,,,,0,,0.0
TAIKO,2026-01-01,2026-08-03,215,253,3006,1,0,0,0,,,,,0,,0.0
AGT,2026-01-01,2026-08-03,215,30,69,1,1,1,0,0.0,-0.12148044483249976,-0.12148044483249976,-0.12148044483249976,-0.028228749302185836,5.0,0.13953488372093023
DOLO,2026-01-01,2026-08-03,215,47,64,1,1,1,0,1.0,0.02956460364899313,0.02956460364899313,0.02956460364899316,0.00736255778881004,7.0,0.13953488372093023
STO,2026-01-01,2026-08-03,215,78,161,6,3,3,0,0.3333333333333333,-0.05719337697007601,-0.07152152454117801,-0.16583486624873167,-0.025227233551342584,5.0,0.41860465116279066
BAN,2026-01-01,2026-08-03,215,1,1,0,0,0,0,,,,,0,,0.0
BR,2026-01-01,2026-08-03,215,46,99,3,0,0,0,,,,,0,,0.0
SOLV,2026-01-01,2026-08-03,215,296,811,2,0,0,0,,,,,0,,0.0
PORTAL,2026-01-01,2026-08-03,215,279,855,6,0,0,0,,,,,0,,0.0
UB,2026-01-01,2026-08-03,215,22,78,2,0,0,0,,,,,0,,0.0
MELANIA,2026-01-01,2026-08-03,215,299,615,4,1,1,0,0.0,-0.10968767345247536,-0.10968767345247536,-0.10968767345247532,-0.0259064998949226,5.0,0.13953488372093023
API3,2026-01-01,2026-08-03,215,552,9356,0,0,0,0,,,,,0,,0.0
POWER,2026-01-01,2026-08-03,215,18,33,2,2,2,0,0.5,-0.002321863890238224,-0.002321863890238224,-0.0057807390003098424,0.0010185973797165668,4.0,0.27906976744186046
VANRY,2026-01-01,2026-08-03,215,286,770,9,4,4,0,0.25,0.16155776007480077,-0.1057358820917626,0.3519896289956288,0.04656477162534467,6.0,0.5581395348837209
IN,2026-01-01,2026-08-03,215,82,475,2,0,0,0,,,,,0,,0.0
AXS,2026-01-01,2026-08-03,215,196,308,4,0,0,0,,,,,0,,0.0
LSK,2026-01-01,2026-08-03,215,447,2983,1,0,0,0,,,,,0,,0.0
HYPER,2026-01-01,2026-08-03,215,135,238,2,1,1,0,0.0,-0.0012088676441959856,-0.0012088676441959856,-0.0012088676441960322,-0.0002577288807629902,6.0,0.13953488372093023
MYX,2026-01-01,2026-08-03,215,130,318,0,0,0,0,,,,,0,,0.0
TA,2026-01-01,2026-08-03,215,81,108,3,1,1,0,0.0,-0.03996158067909443,-0.03996158067909443,-0.03996158067909439,-0.005759990040835183,7.0,0.13953488372093023
