scenario,candidate_signals,executed_trades,win_rate,average_margin_fraction,final_equity,total_return,max_drawdown_5m,max_gross_leverage,average_open_positions,average_invested_gross_leverage,skipped_same_symbol,skipped_position_limit,skipped_risk_budget,removed_best_case,random_return_p10,random_return_p90,xsec_dynamic_invvol_all_percentile_vs_random,classifier_dynamic_invvol_all_percentile_vs_random
baseline_f7c_k3_equal,419,84,0.2976190476190476,0.3,0.27346717378816243,-0.7265328262118376,-0.7605557580848831,2.047933333925067,2.7203108316526277,1.5611136772134258,13,322,0,,,,,
xsec_k3_equal_all,419,88,0.26136363636363635,0.3,0.1894595000402044,-0.8105404999597956,-0.8475452235780443,2.253822437198619,2.69091363339355,1.544832757653001,15,316,0,,,,,
xsec_k3_equal_tophalf,253,86,0.26744186046511625,0.3,0.20597702760075762,-0.7940229723992424,-0.8342538553924781,2.1585135717468424,2.640985717855564,1.5073160319398875,5,162,0,,,,,
xsec_k5_equal_tophalf,253,132,0.26515151515151514,0.18,0.37865868521640983,-0.6213413147835902,-0.6721385829339913,2.020410105406086,4.170092119523146,1.4422528285765286,11,110,0,,,,,
xsec_k8_equal_tophalf,253,183,0.3005464480874317,0.1125,0.5775528775241573,-0.4224471224758427,-0.5796643374543133,1.9103061867235975,5.9142521610226595,1.2639415776982892,15,55,0,,,,,
xsec_k5_invvol_tophalf,253,132,0.26515151515151514,0.15588887774613328,0.4780699539160314,-0.5219300460839686,-0.614515886293194,1.9902896807306623,4.170092119523146,1.3777106990341188,11,110,0,,,,,
xsec_dynamic_invvol_tophalf,253,84,0.3333333333333333,0.14874415828609094,0.9763097236314018,-0.023690276368598218,-0.3821617642169115,1.959058900803284,2.913173076923077,0.9300400482780421,8,161,0,,,,,
f7c_dynamic_invvol_all,419,81,0.32098765432098764,0.14724160947452625,0.7055967800691635,-0.2944032199308365,-0.47732789313499846,1.9608749992208991,2.9309612115592643,0.9327023704316524,13,323,2,,,,,
xsec_dynamic_invvol_all,419,79,0.35443037974683544,0.15273771746603423,1.2418532200693,0.2418532200693,-0.3186660713084364,1.9812275815300426,2.9976649040873826,0.9625710795713287,17,323,0,,,,,
classifier_k3_equal_tophalf,253,75,0.3333333333333333,0.3,0.9178788846317674,-0.08212111536823263,-0.5260930199228591,2.2057423137435768,2.710016602102933,1.5232945804795226,5,173,0,,,,,
classifier_k5_invvol_tophalf,253,120,0.2916666666666667,0.16349449571588176,0.7006132472878771,-0.2993867527121229,-0.565810212663356,2.019398048261943,4.280447350961994,1.3981794594963852,13,120,0,,,,,
classifier_dynamic_invvol_all,419,84,0.36904761904761907,0.15816027528474189,1.1197797831338983,0.11977978313389825,-0.42829074309090676,2.015701242181956,2.9709277634068183,0.9657845310799735,16,319,0,,,,,
classifier_dynamic_invvol_tophalf,253,85,0.35294117647058826,0.15672169157730886,0.9896963954697776,-0.010303604530222388,-0.46112289324226063,2.03616764061233,2.95957685031466,0.9573023129929462,11,157,0,,,,,
xsec_dynamic_invvol_all_without_best_trade,418,80,0.3625,0.1519192680065701,1.1363045979112303,0.13630459791123029,-0.3037182487945074,1.957614224907148,3.000948601297067,0.9546685957030151,17,321,0,247-BAS-2026-04-19,,,,
classifier_dynamic_invvol_all_without_best_trade,418,82,0.36585365853658536,0.1591477271576165,0.9180370222445687,-0.08196297775543127,-0.42834979982671684,2.0151261115570387,2.9982240067951045,0.9803476988495701,17,319,0,247-BAS-2026-04-19,,,,
random_dynamic_invvol_all_30_median,419,82.0,0.3333333333333333,0.15138900158482402,0.8999301944423164,-0.10006980555768369,-0.4200805863308165,1.9820176682352624,2.9757827011113323,0.9590334005668052,,,,,-0.3711479669598462,0.14658722073084673,0.9666666666666667,0.8666666666666667
