strategy,case_id,symbol,signal_date,entry_time_utc,entry_equity,margin,notional,entry_fee,exit_pnl_after_exit_fee,exit_events,last_exit_reason,exit_time_utc,total_net_pnl,contribution_to_initial_equity,return_on_allocated_margin
v2_end_to_end,001-NIL-2026-01-01,NIL,2026-01-01,2026-01-02T00:00:00+00:00,1.0,0.3,0.6,0.0012,-0.051396905989686645,1,保护止损,2026-01-08T03:30:00+00:00,-0.052596905989686644,-0.052596905989686644,-0.17532301996562216
v2_end_to_end,002-SXT-2026-01-01,SXT,2026-01-01,2026-01-02T00:00:00+00:00,1.0,0.3,0.6,0.0012,0.10287417879417886,1,持有满14天,2026-01-16T00:00:00+00:00,0.10167417879417885,0.10167417879417885,0.3389139293139295
v2_end_to_end,003-BIO-2026-01-01,BIO,2026-01-01,2026-01-02T00:00:00+00:00,1.0,0.3,0.6,0.0012,0.016563226649248884,2,V2弱趋势分层回撤,2026-01-07T15:45:00+00:00,0.015363226649248884,0.015363226649248884,0.051210755497496284
v2_end_to_end,023-RIVER-2026-01-07,RIVER,2026-01-07,2026-01-08T00:00:00+00:00,1.0512679286905635,0.31538037860716905,0.6307607572143381,0.0012615215144286763,-0.05379378025290247,1,保护止损,2026-01-08T14:00:00+00:00,-0.055055301767331144,-0.055055301767331144,-0.1745679360601784
v2_end_to_end,024-BIO-2026-01-08,BIO,2026-01-08,2026-01-09T00:00:00+00:00,1.0015629939442061,0.30046889818326183,0.6009377963665237,0.0012018755927330474,-0.05089200283451367,1,保护止损,2026-01-12T13:10:00+00:00,-0.05209387842724672,-0.05209387842724672,-0.17337527691626056
v2_end_to_end,025-WET-2026-01-08,WET,2026-01-08,2026-01-09T00:00:00+00:00,1.0015629939442061,0.30046889818326183,0.6009377963665237,0.0012018755927330474,-0.052495308593663886,1,保护止损,2026-01-09T19:35:00+00:00,-0.053697184186396935,-0.053697184186396935,-0.17871128929173222
v2_end_to_end,028-EDU-2026-01-09,EDU,2026-01-09,2026-01-10T00:00:00+00:00,0.9164725384872554,0.2749417615461766,0.5498835230923532,0.0010997670461847064,-0.013254038153247464,2,V2弱趋势分层回撤,2026-01-19T14:00:00+00:00,-0.014353805199432171,-0.014353805199432171,-0.052206711409395846
v2_end_to_end,033-EUL-2026-01-13,EUL,2026-01-13,2026-01-14T00:00:00+00:00,0.9481209960417751,0.2844362988125325,0.568872597625065,0.0011377451952501302,-0.048985391488465826,1,保护止损,2026-01-15T06:40:00+00:00,-0.05012313668371596,-0.05012313668371596,-0.1762191987906274
v2_end_to_end,036-POWER-2026-01-15,POWER,2026-01-15,2026-01-16T00:00:00+00:00,0.8925976098778097,0.2677792829633429,0.5355585659266858,0.0010711171318533717,0.0161088365794091,2,V2弱趋势分层回撤,2026-01-20T23:40:00+00:00,0.015037719447555727,0.015037719447555727,0.05615714285714285
v2_end_to_end,037-IOST-2026-01-15,IOST,2026-01-15,2026-01-16T00:00:00+00:00,0.8925976098778097,0.2677792829633429,0.5355585659266858,0.0010711171318533717,-0.04439033144612074,1,保护止损,2026-01-20T19:40:00+00:00,-0.045461448577974115,-0.045461448577974115,-0.1697720901889093
