feature,label,quartile,lower_bound,upper_bound,trades,win_rate,mean_return_2x,median_return_2x
f7c_share,F7c/Cluster,1,,0.0013389831909135148,109,0.30275229357798167,0.0030248557424192054,-0.1388756248162302
f7c_share,F7c/Cluster,2,0.0013389831909135148,0.002080000542842842,109,0.27522935779816515,-0.0364240400617513,-0.16786270022883312
f7c_share,F7c/Cluster,3,0.002080000542842842,0.004786702878928737,108,0.2777777777777778,-0.05109794964144071,-0.15961421885398203
f7c_share,F7c/Cluster,4,0.004786702878928737,,109,0.3211009174311927,0.0009284282594403253,-0.12247340980187686
flow_to_signal_volume,7日CEX净流入/信号日成交量,1,,0.00391963449636518,109,0.24770642201834864,-0.014906900193469868,-0.16782529572338512
flow_to_signal_volume,7日CEX净流入/信号日成交量,2,0.00391963449636518,0.014726034758254496,109,0.26605504587155965,-0.054106453324881884,-0.16833061699650767
flow_to_signal_volume,7日CEX净流入/信号日成交量,3,0.014726034758254496,0.04539508762548692,108,0.35185185185185186,0.002853919134034232,-0.06794498045374178
flow_to_signal_volume,7日CEX净流入/信号日成交量,4,0.04539508762548692,,109,0.3119266055045872,-0.016914300043845466,-0.12074944071588353
flow_to_median20_volume,7日CEX净流入/此前20日中位成交量,1,,0.007269255987483785,109,0.29357798165137616,-0.013358311449847777,-0.1586766076421249
flow_to_median20_volume,7日CEX净流入/此前20日中位成交量,2,0.007269255987483785,0.021923175965932365,109,0.3302752293577982,-0.004354955783552464,-0.16757089169798442
flow_to_median20_volume,7日CEX净流入/此前20日中位成交量,3,0.021923175965932365,0.0674204732095545,108,0.25925925925925924,-0.041267306245716485,-0.12106383600420031
flow_to_median20_volume,7日CEX净流入/此前20日中位成交量,4,0.0674204732095545,,109,0.29357798165137616,-0.024497942833264157,-0.16448963075366704
flow_to_prior7_volume,7日CEX净流入/此前7日总成交量,1,,0.0006098047864617658,109,0.29357798165137616,-0.0064254596803134945,-0.16448963075366704
