scenario,month,trades,win_rate,mean_return_2x
baseline,2026-01,70,0.2571428571428571,-0.035895777069425455
baseline,2026-02,49,0.24489795918367346,-0.058560476346075065
baseline,2026-03,64,0.390625,-0.004978978182317595
baseline,2026-04,71,0.5774647887323944,0.12238145086003949
baseline,2026-05,60,0.18333333333333332,-0.056045601434771206
baseline,2026-06,66,0.25757575757575757,-0.04671151790469958
baseline,2026-07,55,0.07272727272727272,-0.10182646137426131
f7c_ge_0.2pct,2026-01,43,0.3023255813953488,-0.021106498208920507
f7c_ge_0.2pct,2026-02,22,0.2727272727272727,-0.0459446716573709
f7c_ge_0.2pct,2026-03,36,0.3611111111111111,-0.024840875813410542
f7c_ge_0.2pct,2026-04,38,0.5526315789473685,0.11915211686514132
f7c_ge_0.2pct,2026-05,25,0.2,-0.08559681036497206
f7c_ge_0.2pct,2026-06,35,0.22857142857142856,-0.04935047985437053
f7c_ge_0.2pct,2026-07,31,0.03225806451612903,-0.1265390912939703
f7c_ge_0.5pct,2026-01,21,0.38095238095238093,-0.03863696525492046
f7c_ge_0.5pct,2026-02,6,0.16666666666666666,-0.03030296469885411
f7c_ge_0.5pct,2026-03,16,0.5,0.04915398384154392
f7c_ge_0.5pct,2026-04,23,0.5217391304347826,0.1393811827441831
f7c_ge_0.5pct,2026-05,7,0.14285714285714285,-0.1077224427963433
f7c_ge_0.5pct,2026-06,20,0.15,-0.06147276684710521
f7c_ge_0.5pct,2026-07,10,0.1,-0.10794206928865818
flow_normal_ge_5pct,2026-01,28,0.35714285714285715,0.006817598390174298
flow_normal_ge_5pct,2026-02,10,0.3,-0.06800542330125127
flow_normal_ge_5pct,2026-03,24,0.2916666666666667,-0.05661616742731553
flow_normal_ge_5pct,2026-04,26,0.46153846153846156,0.1135976182944571
flow_normal_ge_5pct,2026-05,12,0.25,-0.059021791612800946
flow_normal_ge_5pct,2026-06,20,0.15,-0.07020047560424572
flow_normal_ge_5pct,2026-07,13,0.07692307692307693,-0.12768901961374945
flow_normal_ge_10pct,2026-01,18,0.3333333333333333,-0.046504961148097254
flow_normal_ge_10pct,2026-02,6,0.16666666666666666,-0.10859168892690646
flow_normal_ge_10pct,2026-03,11,0.18181818181818182,-0.12834784268466493
flow_normal_ge_10pct,2026-04,14,0.35714285714285715,-0.03181227932891082
flow_normal_ge_10pct,2026-05,7,0.14285714285714285,-0.12733710377019133
flow_normal_ge_10pct,2026-06,12,0,-0.10614076626484749
flow_normal_ge_10pct,2026-07,5,0.2,-0.13325131667297274
flow_normal_ge_25pct,2026-01,7,0.14285714285714285,-0.08539613204703365
flow_normal_ge_25pct,2026-02,3,0,-0.1795624441408674
flow_normal_ge_25pct,2026-03,4,0,-0.17663591112924135
flow_normal_ge_25pct,2026-04,5,0.4,-0.007060305108675421
flow_normal_ge_25pct,2026-05,1,0,-0.17946581091088604
flow_normal_ge_25pct,2026-06,4,0,-0.08405610060391557
flow_normal_ge_25pct,2026-07,3,0.3333333333333333,-0.10948793289558537
flow_normal_5_to_10pct,2026-01,10,0.4,0.10279820555906309
flow_normal_5_to_10pct,2026-02,4,0.5,-0.007126024862768475
flow_normal_5_to_10pct,2026-03,13,0.38461538461538464,0.004079865482749346
flow_normal_5_to_10pct,2026-04,12,0.5833333333333334,0.283242498855053
flow_normal_5_to_10pct,2026-05,5,0.4,0.036619645407545594
flow_normal_5_to_10pct,2026-06,8,0.375,-0.016290039613343053
flow_normal_5_to_10pct,2026-07,8,0,-0.12421258395173493
signal_volume_le_1x,2026-01,30,0.26666666666666666,-0.036734381881135245
signal_volume_le_1x,2026-02,20,0.25,-0.017758630057321735
signal_volume_le_1x,2026-03,39,0.46153846153846156,-0.007790915024266562
signal_volume_le_1x,2026-04,24,0.8333333333333334,0.24507038146274926
signal_volume_le_1x,2026-05,30,0.2,-0.07807710950824245
signal_volume_le_1x,2026-06,22,0.3181818181818182,0.007589341587036947
signal_volume_le_1x,2026-07,27,0.037037037037037035,-0.10451529964143512
signal_volume_le_1.5x,2026-01,42,0.30952380952380953,-0.015417625472366305
signal_volume_le_1.5x,2026-02,29,0.2413793103448276,-0.05068100825375262
signal_volume_le_1.5x,2026-03,49,0.42857142857142855,-0.0006053483873772182
signal_volume_le_1.5x,2026-04,41,0.7560975609756098,0.1901519492953115
signal_volume_le_1.5x,2026-05,36,0.16666666666666666,-0.08734409919723216
signal_volume_le_1.5x,2026-06,38,0.3157894736842105,-0.014189969394806077
signal_volume_le_1.5x,2026-07,42,0.09523809523809523,-0.08138786426299953
flow_to_signal_ge_2pct,2026-01,29,0.3448275862068966,-0.0040917259137091015
flow_to_signal_ge_2pct,2026-02,16,0.1875,-0.10562138782626077
flow_to_signal_ge_2pct,2026-03,38,0.3684210526315789,-0.03394577858804243
flow_to_signal_ge_2pct,2026-04,38,0.631578947368421,0.15280268456179527
flow_to_signal_ge_2pct,2026-05,21,0.19047619047619047,-0.08561346060983557
flow_to_signal_ge_2pct,2026-06,22,0.2727272727272727,-0.010796464544701652
flow_to_signal_ge_2pct,2026-07,19,0.05263157894736842,-0.10622885185098707
prior7_le_10pct,2026-01,53,0.2641509433962264,-0.0433468277150615
prior7_le_10pct,2026-02,41,0.21951219512195122,-0.07211929723344451
prior7_le_10pct,2026-03,55,0.41818181818181815,-0.0043496588320983045
prior7_le_10pct,2026-04,49,0.6530612244897959,0.1335932941311809
prior7_le_10pct,2026-05,49,0.20408163265306123,-0.03930946942467887
prior7_le_10pct,2026-06,56,0.26785714285714285,-0.04059148421060515
