scenario,label,trades,retention,symbols,win_rate,mean_return_2x,trimmed_mean_return_2x,median_return_2x,positive_months,months
baseline,不筛选,435,1.0,124,0.2942528735632184,-0.02082273786621563,-0.05724432819061278,-0.15265653055314213,1,7
f7c_ge_0.2pct,F7c/Cluster≥0.2%,230,0.5287356321839081,100,0.29130434782608694,-0.026411965965189136,-0.059352830788007925,-0.1363564743005399,1,7
f7c_ge_0.5pct,F7c/Cluster≥0.5%,103,0.2367816091954023,63,0.3300970873786408,-0.0006203518773653334,-0.03912375956742914,-0.09736568284142078,2,7
flow_normal_ge_5pct,7日流入≥日常量5%,133,0.3057471264367816,66,0.2932330827067669,-0.020049922459433,-0.05736070021500963,-0.12496951646811488,2,7
flow_normal_ge_10pct,7日流入≥日常量10%,73,0.167816091954023,44,0.2191780821917808,-0.08461839889448805,-0.09805670192053717,-0.1678404133180252,0,7
flow_normal_ge_25pct,7日流入≥日常量25%,27,0.06206896551724138,21,0.14814814814814814,-0.10083183106761054,-0.118162503125462,-0.17064760543245183,0,7
flow_normal_5_to_10pct,7日流入/日常量介于5%和10%,60,0.13793103448275862,40,0.38333333333333336,0.058508390536550645,0.006567512405563949,-0.046778559264625263,4,7
signal_volume_le_1x,信号日成交量≤日常量1倍,192,0.4413793103448276,87,0.3385416666666667,-0.004565736713917265,-0.037115929714913704,-0.1064931479018913,2,7
signal_volume_le_1.5x,信号日成交量≤日常量1.5倍,277,0.6367816091954023,103,0.33935018050541516,-0.005244109625346177,-0.03734471269180697,-0.09736568284142078,1,7
flow_to_signal_ge_2pct,7日流入/信号日成交量≥2%,183,0.4206896551724138,82,0.33879781420765026,-0.007354059604775221,-0.040560985156257987,-0.07701222056631897,1,7
prior7_le_10pct,前7日涨幅≤10%,350,0.8045977011494253,113,0.3057142857142857,-0.02097099348715623,-0.05613394283748249,-0.13732191682418857,1,7
prior7_le_20pct,前7日涨幅≤20%,386,0.8873563218390804,119,0.3005181347150259,-0.02458029486417362,-0.058583284873749544,-0.13916524345777181,1,7
prior14_le_30pct,前14日涨幅≤30%,396,0.9103448275862069,117,0.3005050505050505,-0.02414180108082461,-0.05544092693212551,-0.14947730008855845,1,7
runup7_le_30pct,近7日最高涨幅≤30%,340,0.7816091954022989,110,0.3088235294117647,-0.020582562126127947,-0.05531576986912336,-0.1363564743005399,1,7
no_recent_5x_volume,此前7日无5倍量,302,0.6942528735632184,108,0.2980132450331126,-0.019113330431736325,-0.054261874031333146,-0.12839322353163965,1,7
f7c05_signal_volume15,F7c≥0.5%且信号日成交量≤日常量1.5倍,61,0.14022988505747128,43,0.4262295081967213,0.05056657676929924,0.006037038985368076,-0.04630277185501063,4,7
signal_volume1_flow_signal2,信号日成交量≤日常量1倍且流入/当日量≥2%,104,0.23908045977011494,60,0.36538461538461536,0.01655926162411411,-0.020246709247060547,-0.05199577570174839,2,7
flow10_prior7_20,流入/日常量≥10%且前7日涨幅≤20%,67,0.15402298850574714,40,0.22388059701492538,-0.0833424063885436,-0.09905771686075483,-0.1678404133180252,0,7
f7c02_flow10_prior7_20,F7c≥0.2%、流入/日常量≥10%、前7日涨幅≤20%,58,0.13333333333333333,37,0.20689655172413793,-0.08770906588626402,-0.10110927028129331,-0.1676683158336262,0,7
flow10_prior7_20_no5x,流入/日常量≥10%、前7日涨幅≤20%、此前无5倍量,43,0.09885057471264368,29,0.23255813953488372,-0.06823758595797037,-0.08541454862564854,-0.1671773347324239,2,7
