scenario,label,candidate_signals,executed_trades,executed_symbols,skipped_signals,win_rate,total_return,max_drawdown_5m
baseline,不筛选,492,105,55,387,0.2857142857142857,-0.8384799227868291,-0.879342108022585
f7c_ge_0.2pct,F7c/Cluster≥0.2%,254,101,62,153,0.2871287128712871,-0.7906209433237112,-0.8435907409241835
f7c_ge_0.5pct,F7c/Cluster≥0.5%,111,67,46,44,0.26865671641791045,-0.648826867461954,-0.7304305898962986
flow_normal_ge_5pct,7日流入≥日常量5%,146,68,40,78,0.35294117647058826,-0.421680562173788,-0.5754380655751273
flow_normal_ge_10pct,7日流入≥日常量10%,78,57,37,21,0.2631578947368421,-0.7301980054483218,-0.784431223660627
flow_normal_ge_25pct,7日流入≥日常量25%,27,27,21,0,0.14814814814814814,-0.5842535705150504,-0.636543280604265
flow_normal_5_to_10pct,7日流入/日常量介于5%和10%,68,49,31,19,0.30612244897959184,-0.061361394965690486,-0.49685938858766676
signal_volume_le_1x,信号日成交量≤日常量1倍,220,82,51,138,0.36585365853658536,0.21786166349023528,-0.5830032443468665
signal_volume_le_1.5x,信号日成交量≤日常量1.5倍,316,91,50,225,0.31868131868131866,-0.4468498690247392,-0.6326581766351139
flow_to_signal_ge_2pct,7日流入/信号日成交量≥2%,207,72,43,135,0.3333333333333333,-0.39965805278302047,-0.6243739498817242
prior7_le_10pct,前7日涨幅≤10%,394,100,56,294,0.32,-0.7830579956666353,-0.8443364255661194
prior7_le_20pct,前7日涨幅≤20%,437,103,61,334,0.2815533980582524,-0.772473680793689,-0.8300344668076016
prior14_le_30pct,前14日涨幅≤30%,447,102,53,345,0.30392156862745096,-0.7888619888416057,-0.8485009963064979
runup7_le_30pct,近7日最高涨幅≤30%,390,92,54,298,0.34782608695652173,-0.682786469515593,-0.76859589265418
no_recent_5x_volume,此前7日无5倍量,344,92,53,252,0.33695652173913043,-0.31500844325342525,-0.6639660888283068
f7c05_signal_volume15,F7c≥0.5%且信号日成交量≤日常量1.5倍,67,43,34,24,0.37209302325581395,0.2688223946582431,-0.35594707133618775
signal_volume1_flow_signal2,信号日成交量≤日常量1倍且流入/当日量≥2%,121,59,39,62,0.3220338983050847,-0.2757800139916442,-0.5687626235209684
flow10_prior7_20,流入/日常量≥10%且前7日涨幅≤20%,72,55,33,17,0.2545454545454545,-0.7167720109799236,-0.7739485367797163
f7c02_flow10_prior7_20,F7c≥0.2%、流入/日常量≥10%、前7日涨幅≤20%,63,51,31,12,0.23529411764705882,-0.7185592077646501,-0.7750960832295197
flow10_prior7_20_no5x,流入/日常量≥10%、前7日涨幅≤20%、此前无5倍量,46,41,28,5,0.24390243902439024,-0.610884440613938,-0.6877565129572747
