model,month,feature,label,standardized_success_coefficient
full,2026-02,log_signal_volume_ratio,信号日成交量/20日中位量（对数）,-0.0334081543031532
full,2026-02,recent_5x_volume,此前7日是否出现5倍量,-0.26073027406987065
full,2026-02,log_prior7_max_volume_ratio,此前7日最大量倍数（对数）,0.16092914101649686
full,2026-02,log_flow_to_signal,CEX流入/信号日成交量（对数）,0.7831233788306383
full,2026-02,flow_normal_0_to_5pct,流入/日常量0%—5%的幅度,-0.3993795085227697
full,2026-02,flow_normal_above_5pct,流入/日常量超过5%的幅度,0.41232593814499124
full,2026-02,flow_normal_above_10pct,流入/日常量超过10%的幅度,-0.8237545166048323
full,2026-02,return_7d,前7日涨幅,-0.3741186557238076
full,2026-02,return_7d_above_20pct,前7日涨幅超过20%的幅度,-0.2304220390643073
full,2026-02,return_7d_above_50pct,前7日涨幅超过50%的幅度,1.093793627491694
full,2026-02,recent_7d_runup,近7日最高涨幅,0.04265681045468972
full,2026-02,market_median_return_7d,币池近7日收益中位数,0.04023922843666794
full,2026-02,market_positive_breadth_7d,币池近7日上涨占比,0.9439565349616788
full,2026-02,market_trend_breadth_interaction,市场趋势×上涨广度,1.0225466075248013
full,2026-03,log_signal_volume_ratio,信号日成交量/20日中位量（对数）,0.13246935180353883
full,2026-03,recent_5x_volume,此前7日是否出现5倍量,-0.18592149884980613
full,2026-03,log_prior7_max_volume_ratio,此前7日最大量倍数（对数）,0.4839214362272824
full,2026-03,log_flow_to_signal,CEX流入/信号日成交量（对数）,0.9753703165234364
full,2026-03,flow_normal_0_to_5pct,流入/日常量0%—5%的幅度,-0.5243231430228211
full,2026-03,flow_normal_above_5pct,流入/日常量超过5%的幅度,0.09990590649607409
full,2026-03,flow_normal_above_10pct,流入/日常量超过10%的幅度,-0.8986179399743224
full,2026-03,return_7d,前7日涨幅,0.12688218961055342
full,2026-03,return_7d_above_20pct,前7日涨幅超过20%的幅度,-0.26000258648681385
full,2026-03,return_7d_above_50pct,前7日涨幅超过50%的幅度,0.4309483387873062
full,2026-03,recent_7d_runup,近7日最高涨幅,-0.24330766795243627
full,2026-03,market_median_return_7d,币池近7日收益中位数,0.024260922476710294
full,2026-03,market_positive_breadth_7d,币池近7日上涨占比,0.6056339471376657
full,2026-03,market_trend_breadth_interaction,市场趋势×上涨广度,0.6490872622959045
full,2026-04,log_signal_volume_ratio,信号日成交量/20日中位量（对数）,0.13098876784762262
full,2026-04,recent_5x_volume,此前7日是否出现5倍量,-0.011989289053596912
full,2026-04,log_prior7_max_volume_ratio,此前7日最大量倍数（对数）,0.27512871109634884
full,2026-04,log_flow_to_signal,CEX流入/信号日成交量（对数）,0.830042401066405
full,2026-04,flow_normal_0_to_5pct,流入/日常量0%—5%的幅度,-0.6359205199386518
full,2026-04,flow_normal_above_5pct,流入/日常量超过5%的幅度,0.2294866527968386
full,2026-04,flow_normal_above_10pct,流入/日常量超过10%的幅度,-0.9531807215531829
full,2026-04,return_7d,前7日涨幅,0.21253866115796535
full,2026-04,return_7d_above_20pct,前7日涨幅超过20%的幅度,-0.19400667384549714
full,2026-04,return_7d_above_50pct,前7日涨幅超过50%的幅度,0.26417056640002623
full,2026-04,recent_7d_runup,近7日最高涨幅,-0.38057177177018364
full,2026-04,market_median_return_7d,币池近7日收益中位数,-0.22942727259561657
full,2026-04,market_positive_breadth_7d,币池近7日上涨占比,0.4562787191979625
full,2026-04,market_trend_breadth_interaction,市场趋势×上涨广度,0.07882686697540713
full,2026-05,log_signal_volume_ratio,信号日成交量/20日中位量（对数）,0.04845869288047089
full,2026-05,recent_5x_volume,此前7日是否出现5倍量,0.10570390878479217
full,2026-05,log_prior7_max_volume_ratio,此前7日最大量倍数（对数）,0.056834580318478496
full,2026-05,log_flow_to_signal,CEX流入/信号日成交量（对数）,0.724445480351302
full,2026-05,flow_normal_0_to_5pct,流入/日常量0%—5%的幅度,-0.4761636881663668
full,2026-05,flow_normal_above_5pct,流入/日常量超过5%的幅度,0.11061718467654533
full,2026-05,flow_normal_above_10pct,流入/日常量超过10%的幅度,-0.9700107670087829
full,2026-05,return_7d,前7日涨幅,0.3802290715506128
full,2026-05,return_7d_above_20pct,前7日涨幅超过20%的幅度,-0.07489052063390855
full,2026-05,return_7d_above_50pct,前7日涨幅超过50%的幅度,0.03722171561690139
full,2026-05,recent_7d_runup,近7日最高涨幅,-0.49458773341321904
full,2026-05,market_median_return_7d,币池近7日收益中位数,0.17702117951770907
full,2026-05,market_positive_breadth_7d,币池近7日上涨占比,-0.08165540952722906
full,2026-05,market_trend_breadth_interaction,市场趋势×上涨广度,0.06901930671135291
full,2026-06,log_signal_volume_ratio,信号日成交量/20日中位量（对数）,0.045478711097604624
full,2026-06,recent_5x_volume,此前7日是否出现5倍量,0.018491977145698626
full,2026-06,log_prior7_max_volume_ratio,此前7日最大量倍数（对数）,0.1451000272470341
full,2026-06,log_flow_to_signal,CEX流入/信号日成交量（对数）,0.7420478753373972
full,2026-06,flow_normal_0_to_5pct,流入/日常量0%—5%的幅度,-0.46261585175855124
full,2026-06,flow_normal_above_5pct,流入/日常量超过5%的幅度,0.1017895323902343
full,2026-06,flow_normal_above_10pct,流入/日常量超过10%的幅度,-0.9198689554010712
full,2026-06,return_7d,前7日涨幅,0.2751192411052963
full,2026-06,return_7d_above_20pct,前7日涨幅超过20%的幅度,0.06588842684703226
full,2026-06,return_7d_above_50pct,前7日涨幅超过50%的幅度,-0.07081516283397286
full,2026-06,recent_7d_runup,近7日最高涨幅,-0.2806683491791957
full,2026-06,market_median_return_7d,币池近7日收益中位数,-0.5026630654115507
full,2026-06,market_positive_breadth_7d,币池近7日上涨占比,0.4311576778654592
full,2026-06,market_trend_breadth_interaction,市场趋势×上涨广度,-0.19282665640460606
full,2026-07,log_signal_volume_ratio,信号日成交量/20日中位量（对数）,-0.07067464283970247
full,2026-07,recent_5x_volume,此前7日是否出现5倍量,-0.04990030717142867
full,2026-07,log_prior7_max_volume_ratio,此前7日最大量倍数（对数）,0.29054294915957196
full,2026-07,log_flow_to_signal,CEX流入/信号日成交量（对数）,0.7349009175638367
full,2026-07,flow_normal_0_to_5pct,流入/日常量0%—5%的幅度,-0.40121020466317203
full,2026-07,flow_normal_above_5pct,流入/日常量超过5%的幅度,-0.0644340303872467
full,2026-07,flow_normal_above_10pct,流入/日常量超过10%的幅度,-0.7855383829714773
full,2026-07,return_7d,前7日涨幅,0.22469290757573865
full,2026-07,return_7d_above_20pct,前7日涨幅超过20%的幅度,-0.09122814336749764
full,2026-07,return_7d_above_50pct,前7日涨幅超过50%的幅度,0.022572524619148618
full,2026-07,recent_7d_runup,近7日最高涨幅,-0.14049677693516802
full,2026-07,market_median_return_7d,币池近7日收益中位数,-0.6658305191194775
full,2026-07,market_positive_breadth_7d,币池近7日上涨占比,0.5278942603413188
full,2026-07,market_trend_breadth_interaction,市场趋势×上涨广度,-0.07969495198111373
full,2026-08,log_signal_volume_ratio,信号日成交量/20日中位量（对数）,-0.039010658159301034
full,2026-08,recent_5x_volume,此前7日是否出现5倍量,0.08104522053281563
full,2026-08,log_prior7_max_volume_ratio,此前7日最大量倍数（对数）,0.12800875796280048
full,2026-08,log_flow_to_signal,CEX流入/信号日成交量（对数）,0.6473224666468296
full,2026-08,flow_normal_0_to_5pct,流入/日常量0%—5%的幅度,-0.35401693637035747
full,2026-08,flow_normal_above_5pct,流入/日常量超过5%的幅度,-0.017824912491702313
full,2026-08,flow_normal_above_10pct,流入/日常量超过10%的幅度,-0.7125787049749839
full,2026-08,return_7d,前7日涨幅,0.2077121240199569
full,2026-08,return_7d_above_20pct,前7日涨幅超过20%的幅度,-0.1453707772978587
full,2026-08,return_7d_above_50pct,前7日涨幅超过50%的幅度,0.1340556060013783
full,2026-08,recent_7d_runup,近7日最高涨幅,-0.18021726518327552
full,2026-08,market_median_return_7d,币池近7日收益中位数,-0.5548897411376665
full,2026-08,market_positive_breadth_7d,币池近7日上涨占比,0.4379448702592151
full,2026-08,market_trend_breadth_interaction,市场趋势×上涨广度,0.0217735640494834
