model,month,train_count,test_signals,completed_test,base_win_rate,auc,brier,log_loss
volume,2026-02,67,52,49,0.24489795918367346,0.5495495495495496,0.1855760855928625,0.5594663980714535
volume,2026-03,114,71,64,0.390625,0.40307692307692305,0.26613160694447,0.7406082486624994
volume,2026-04,171,84,71,0.5774647887323944,0.7097560975609756,0.332658978361406,0.8760221308803691
volume,2026-05,237,70,60,0.18333333333333332,0.42857142857142855,0.1972105603475378,0.589234965800636
volume,2026-06,301,68,66,0.25757575757575757,0.6650660264105642,0.18380587930317108,0.5512745178327952
volume,2026-07,371,71,55,0.07272727272727272,0.4264705882352941,0.144586837793204,0.47050266796453033
cex,2026-02,67,52,49,0.24489795918367346,0.46621621621621623,0.20139119564190158,0.5980155794923608
cex,2026-03,114,71,64,0.390625,0.5507692307692308,0.2535560695937152,0.7029294810466409
cex,2026-04,171,84,71,0.5774647887323944,0.7626016260162601,0.321466797374339,0.8461679925164257
cex,2026-05,237,70,60,0.18333333333333332,0.5157699443413729,0.19239967175901657,0.5748955367794886
cex,2026-06,301,68,66,0.25757575757575757,0.6182472989195679,0.19068839102270124,0.5618852487176625
cex,2026-07,371,71,55,0.07272727272727272,0.5588235294117647,0.14308599145391476,0.4670538875101004
price_action,2026-02,67,52,49,0.24489795918367346,0.4617117117117117,0.19596175408382085,0.5821430881123949
price_action,2026-03,114,71,64,0.390625,0.4553846153846154,0.2614319090244983,0.7265793078985925
price_action,2026-04,171,84,71,0.5774647887323944,0.6308943089430894,0.33210259976463913,0.8765156431328384
price_action,2026-05,237,70,60,0.18333333333333332,0.39517625231910947,0.19586083303719184,0.5827290733145072
price_action,2026-06,301,68,66,0.25757575757575757,0.34213685474189676,0.20693421116275326,0.6075686020797157
price_action,2026-07,371,71,55,0.07272727272727272,0.5245098039215687,0.13051815337656877,0.4439493165806977
market,2026-02,67,52,49,0.24489795918367346,0.5123873873873874,0.25702185191547705,0.7258729036345147
market,2026-03,114,71,64,0.390625,0.47384615384615386,0.3051567611995083,0.8614463688791221
market,2026-04,171,84,71,0.5774647887323944,0.4654471544715447,0.3304251290949158,0.8736026246076763
market,2026-05,237,70,60,0.18333333333333332,0.3979591836734694,0.1841313924156465,0.558221620242082
market,2026-06,301,68,66,0.25757575757575757,0.24789915966386555,0.21070111057553614,0.6151871376130464
market,2026-07,371,71,55,0.07272727272727272,0.47549019607843135,0.13060879643255635,0.44439056500938284
full,2026-02,67,52,49,0.24489795918367346,0.48423423423423423,0.3104992099133067,0.9874162186447973
full,2026-03,114,71,64,0.390625,0.4666666666666667,0.2999099571391923,0.8547303317426166
full,2026-04,171,84,71,0.5774647887323944,0.6861788617886179,0.31400940151714213,0.8447797699368871
full,2026-05,237,70,60,0.18333333333333332,0.48794063079777367,0.20500244668885884,0.5998833751335714
full,2026-06,301,68,66,0.25757575757575757,0.5054021608643458,0.20198542138140319,0.5869710840221861
full,2026-07,371,71,55,0.07272727272727272,0.35294117647058826,0.14686741948703816,0.4716963565956226
