scenario,label,candidate_signals,executed_trades,executed_symbols,skipped_signals,win_rate,total_return,max_drawdown_5m,random_return_p10,random_return_p90,model_return_percentile_vs_random
no_filter,OOS月份不筛选,419,84,49,335,0.2976190476190476,-0.7265328262118376,-0.7605557580848831,,,
top_25,保留模型评分最高25%附近,105,49,34,56,0.2857142857142857,-0.16747477085385787,-0.5835591021628846,,,
top_40,保留模型评分最高40%附近,151,54,41,97,0.24074074074074073,-0.42027579119486147,-0.5732412329759135,,,
top_50,保留模型评分最高50%附近,192,64,48,128,0.3125,-0.24755202488277894,-0.5239061346811551,,,
top_67,保留模型评分最高67%附近,272,71,48,201,0.28169014084507044,-0.4709194145576715,-0.5912765868491804,,,
top_75,保留模型评分最高75%附近,308,74,46,234,0.32432432432432434,-0.6167086512839828,-0.6652697828153591,,,
bottom_50,模型评分较低约50%（反向对照）,227,82,54,145,0.32926829268292684,-0.6411449858228555,-0.8357189646960097,,,
bottom_25,模型评分最低约25%（反向对照）,111,61,48,50,0.2786885245901639,-0.6024317945025,-0.6938464323044564,,,
top_25_without_best_trade,Top 25%移除最佳交易（247-BAS-2026-04-19）,104,48,33,56,0.2708333333333333,-0.4791465025611956,-0.5633531263689111,,,
random_top25_30_median,Top 25%等密度随机信号（30次中位）,105,61.5,,,0.3088235294117647,-0.41840378872424294,-0.6183906358921711,-0.6983684884482015,0.014975606011873045,0.7333333333333333
top_50_without_best_trade,Top 50%移除最佳交易（247-BAS-2026-04-19）,191,62,45,129,0.3064516129032258,-0.5153586367554326,-0.5464687805048809,,,
random_top50_30_median,Top 50%等密度随机信号（30次中位）,192,73.0,,,0.31695453643041493,-0.42342818836384816,-0.6862670549444988,-0.7263026110838797,-0.05923645695394558,0.7333333333333333
