scenario,candidate_signals,executed_trades,capacity_skipped,win_rate,total_return,max_drawdown_5m,average_margin_return
oos_no_filter,72,42,30,0.23809523809523808,-0.35537419014238936,-0.6617416931301824,-0.01944284489104084
oos_logistic_top_25,16,14,2,0.2857142857142857,-0.18740045268711547,-0.38843447659540353,-0.03938840908107601
oos_logistic_top_33,22,20,2,0.2,-0.3635136451083232,-0.5209779379567714,-0.06517307928259881
oos_logistic_top_50,31,27,4,0.25925925925925924,-0.35409845846306154,-0.4995359479982183,-0.043991997128697134
oos_logistic_top_67,47,30,17,0.4,0.33353242913682957,-0.3445286149407951,0.05072624110195549
oos_logistic_top_67_without_best_trade,46,29,17,0.3793103448275862,-0.1678916642237651,-0.3912479472197882,-0.014876124535191809
month_2026-04_no_filter,16,12,4,0.4166666666666667,0.5180723595402703,-0.22333465218662552,0.15286344772783783
month_2026-04_logistic_top_67,13,11,2,0.45454545454545453,0.5716717168067598,-0.2285837575638695,0.18179492542099615
month_2026-05_no_filter,22,11,11,0.36363636363636365,-0.19151304253793933,-0.3051435152324323,-0.05512743453536606
month_2026-05_logistic_top_67,13,8,5,0.375,-0.12831549446332025,-0.2820474667937731,-0.04698573414795914
month_2026-06_no_filter,20,14,6,0.07142857142857142,-0.3309185847572481,-0.3887555519923447,-0.08873982698049523
month_2026-06_logistic_top_67,10,8,2,0.375,0.009656014236073984,-0.22619725187992334,0.00659745917892178
month_2026-07_no_filter,14,7,7,0.0,-0.24211553742433423,-0.24211553742433423,-0.12700202776305033
month_2026-07_logistic_top_67,11,6,5,0.16666666666666666,-0.16357450312562216,-0.20313990785297875,-0.0964581573606505
oos_coin_history_min_1,41,31,10,0.3870967741935484,0.2004717953813182,-0.38506860890745154,0.03957564398351848
oos_coin_history_min_1_without_best_trade,40,30,10,0.36666666666666664,-0.2476232768889456,-0.4741503262046759,-0.02421166270300515
oos_coin_history_min_2,57,39,18,0.28205128205128205,-0.28047848962397826,-0.631147984042464,-0.008719690084375478
oos_coin_history_min_2_without_best_trade,56,38,18,0.2631578947368421,-0.5490512650026859,-0.6845815394032431,-0.060349019943943975
