symbol,signal_episodes,executed_trades,skipped_same_symbol_overlap,right_censored_trades,winning_trades,win_rate,final_equity,total_return,classification
ZEREBRO,1,1,0,0,0,0.0,0.9481144962486603,-0.05188550375133971,negative
FHE,3,3,0,0,2,0.6666666666666666,1.149747079488791,0.14974707948879096,positive
SAPIEN,2,2,0,0,0,0.0,0.9621287107818431,-0.037871289218156856,negative
TNSR,12,9,3,0,2,0.2222222222222222,0.9628912539029253,-0.03710874609707471,negative
NIL,3,3,0,0,0,0.0,0.8924204044921086,-0.10757959550789142,negative
BAS,1,1,0,0,1,1.0,1.585958453373768,0.5859584533737681,positive
PIPPIN,7,7,0,0,1,0.14285714285714285,0.8602806696646954,-0.1397193303353046,negative
ALLO,0,0,0,0,0,,1.0,0.0,no_trade
TRADOOR,2,2,0,0,1,0.5,1.1957146127962854,0.19571461279628544,positive
CROSS,1,1,0,0,0,0.0,0.9496478760045924,-0.05035212399540756,negative
BICO,3,3,0,0,1,0.3333333333333333,1.0310358023398816,0.03103580233988157,positive
TAIKO,1,1,0,0,0,0.0,0.9484763790664781,-0.05152362093352192,negative
AGT,1,1,0,0,0,0.0,0.949299689762151,-0.050700310237849044,negative
DOLO,1,1,0,0,1,1.0,1.0222375670840786,0.022237567084078647,positive
STO,6,5,1,0,2,0.4,0.8882610888245195,-0.11173891117548052,negative
BAN,0,0,0,0,0,,1.0,0.0,no_trade
BR,3,3,0,0,0,0.0,0.9168235530314836,-0.08317644696851645,negative
SOLV,2,2,0,0,1,0.5,1.1898231139124664,0.18982311391246642,positive
PORTAL,6,6,0,0,2,0.3333333333333333,1.3226035641510916,0.3226035641510916,positive
UB,2,2,0,0,2,1.0,1.1845306788286036,0.18453067882860363,positive
MELANIA,4,4,0,0,1,0.25,1.1674881200668248,0.16748812006682479,positive
API3,0,0,0,0,0,,1.0,0.0,no_trade
POWER,2,2,0,0,2,1.0,1.0964410880800812,0.09644108808008123,positive
VANRY,9,9,0,0,2,0.2222222222222222,0.7339515329349723,-0.2660484670650277,negative
IN,2,2,0,0,0,0.0,0.9013372219895601,-0.09866277801043988,negative
