symbol,classification,completed_v2_candidates,executed_v2_trades,capacity_skipped_candidates,winning_trades,portfolio_contribution,mean_margin_return
FHE,capacity_skipped_only,1,0,1,0,0.0,
TA,capacity_skipped_only,1,0,1,0,0.0,
SKYAI,capacity_skipped_only,1,0,1,0,0.0,
AUCTION,capacity_skipped_only,1,0,1,0,0.0,
C98,capacity_skipped_only,2,0,2,0,0.0,
BARD,capacity_skipped_only,1,0,1,0,0.0,
PARTI,capacity_skipped_only,1,0,1,0,0.0,
WET,capacity_skipped_only,2,0,2,0,0.0,
NXPC,capacity_skipped_only,1,0,1,0,0.0,
TNSR,negative,3,1,2,0,-0.0003986394071256,-0.0025060744115412
ID,negative,1,1,0,0,-0.0049271493846668,-0.0483777016341594
GMT,negative,1,1,0,0,-0.0049352551308636,-0.050076416337286
SAPIEN,negative,2,1,1,0,-0.0053485941450882,-0.0297406639004149
RESOLV,negative,1,1,0,0,-0.006160391838015,-0.045179416895091
BLUR,negative,1,1,0,0,-0.0085637744058488,-0.0719437125748503
PIPPIN,negative,1,1,0,0,-0.0091041413637304,-0.0932310874704495
AWE,negative,3,3,0,1,-0.009634482804280201,-0.019626052051755466
EDU,negative,3,1,2,0,-0.015194811218927,-0.0522067114093958
ZORA,negative,1,1,0,0,-0.0198313826876685,-0.0873599689681924
STO,negative,3,2,1,1,-0.020613127487773098,-0.0827434524835026
ZEREBRO,negative,1,1,0,0,-0.0225491163237771,-0.1729516791711324
AIOT,negative,2,2,0,0,-0.0236437521770902,-0.12487451376299595
PROM,negative,2,1,1,0,-0.0243520309870665,-0.1697384898710865
AGT,negative,1,1,0,0,-0.025263760049335,-0.1690010341261636
XVS,negative,1,1,0,0,-0.0255099040010645,-0.1706476054324518
HFT,negative,1,1,0,0,-0.0271670359050987,-0.1694411764705881
FIGHT,negative,2,2,0,0,-0.0304045745919,-0.0973826191061184
KMNO,negative,1,1,0,0,-0.0315106943697879,-0.1672451137455946
