case_id,symbol,signal_date,entry_date,decision_time_utc,decision_close_time_ms,execution_time_utc,execution_open_time_ms,execution_price,sold_fraction,cumulative_sold_fraction,reason,score,drawdown,volume_ratio,upper_wick_share,taker_buy_share,failure15,weak1h,regime4h,weak4h_confirmed,mfe_at_decision,active_stop
01-KGEN-2026-01-01,KGEN,2026-01-01,2026-01-02,2026-01-15T23:59:59+00:00,1768521599999,2026-01-16T00:00:00+00:00,1768521600000,0.26432,1.0,1.0,持有满14天,0.41811247178434363,0.07216567216567205,1.7222215686505182,0.13095238095238726,0.47926827602224137,False,True,weak,False,0.3846228615863141,0.20658304
02-CYS-2026-01-01,CYS,2026-01-01,2026-01-02,2026-01-03T02:09:59+00:00,1767406199999,2026-01-03T02:10:00+00:00,1767406200000,0.3221,1.0,1.0,保护止损,0.6106698899081159,0.15192206424433918,7.152501278946003,0.0,0.37624820256796343,False,True,strong,False,0.07989764003412003,0.323564
03-BLESS-2026-01-09,BLESS,2026-01-09,2026-01-10,2026-01-14T22:44:59+00:00,1768430699999,2026-01-14T22:45:00+00:00,1768430700000,0.01141,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7918112005177724,0.15555555555555556,27.562317485774074,0.04166666666667209,0.3872831992233445,True,True,weak,True,0.12406328059950034,0.0110492
04-B2-2026-01-10,B2,2026-01-10,2026-01-11,2026-01-23T18:39:59+00:00,1769193599999,2026-01-23T18:40:00+00:00,1769193600000,0.7094,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7870841097305369,0.1644690369672711,15.84832340958947,0.005076142131979152,0.37241952068338213,True,True,weak,True,0.23137141200347933,0.6925591999999999
05-DEXE-2026-01-12,DEXE,2026-01-12,2026-01-13,2026-01-16T15:29:59+00:00,1768577399999,2026-01-16T15:30:00+00:00,1768577400000,3.158,1.0,1.0,保护止损,0.8032640863852354,0.10312500000000002,4.88008338275199,0.12500000000000464,0.08117974287025922,True,True,weak,True,0.023851076207097144,3.16296
06-SAFE-2026-01-14,SAFE,2026-01-14,2026-01-15,2026-01-15T16:29:59+00:00,1768494599999,2026-01-15T16:30:00+00:00,1768494600000,0.171,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7777671493528667,0.15220624690133855,2.829964552516336,0.14999999999999722,0.26265141180935186,True,True,weak,True,0.22688564476885653,0.1650576
07-ZBT-2026-01-16,ZBT,2026-01-16,2026-01-17,2026-01-19T00:04:59+00:00,1768781099999,2026-01-19T00:05:00+00:00,1768781100000,0.0946,1.0,1.0,保护止损,0.7999999999999999,0.1232622798887858,54.95941867603958,0.0,0.3445557137080317,True,True,weak,True,0.0018570102135559985,0.099084
08-AIA-2026-01-22,AIA,2026-01-22,2026-01-23,2026-01-23T11:24:59+00:00,1769167499999,2026-01-23T11:25:00+00:00,1769167500000,0.21135,1.0,1.0,保护止损,0.7942322412985751,0.190640318627451,9.277075279064254,0.0023266635644483267,0.35271512934952925,True,True,strong,False,0.2018779342723005,0.21812904
09-CLO-2026-01-26,CLO,2026-01-26,2026-01-27,2026-01-27T08:04:59+00:00,1769501099999,2026-01-27T08:05:00+00:00,1769501100000,0.3599,1.0,1.0,保护止损,0.7175625050104988,0.09638554216867468,5.675187749722821,0.01449275362319482,0.41073238699403963,True,True,weak,True,0.009885931558935246,0.36294000000000004
10-BIRB-2026-02-01,BIRB,2026-02-01,2026-02-02,2026-02-03T07:04:59+00:00,1770102299999,2026-02-03T07:05:00+00:00,1770102300000,0.33439,0.25,0.25,多周期退出评分,0.7855711422845691,0.14245058072455963,37.00313060147851,0.4639278557114229,0.5126403892520431,True,False,strong,False,0.7866697205680258,0.21917319999999998
10-BIRB-2026-02-01,BIRB,2026-02-01,2026-02-02,2026-02-03T09:49:59+00:00,1770112199999,2026-02-03T09:50:00+00:00,1770112200000,0.34847,0.75,1.0,5m收盘距持仓最高价回撤15%,0.5318154147713007,0.15847917923958954,1.4395013454692944,0.13504074505238606,0.4938990417808689,True,False,strong,False,0.8976179569399909,0.21917319999999998
11-B2-2026-02-04,B2,2026-02-04,2026-02-05,2026-02-05T23:54:59+00:00,1770335699999,2026-02-05T23:55:00+00:00,1770335700000,0.7039,1.0,1.0,保护止损,0.7999999999999999,0.14946962391513985,143.95507772375538,0.0,0.3009158129481071,True,True,weak,True,0.04129534329107565,0.732964
12-SIREN-2026-02-10,SIREN,2026-02-10,2026-02-11,2026-02-11T21:49:59+00:00,1770846599999,2026-02-11T21:50:00+00:00,1770846600000,0.09927,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6863636363636371,0.152526459542506,0.8589951430633936,0.09090909090909255,0.3309000858457327,True,True,weak,True,0.16264761337699718,0.0927084
13-SAFE-2026-02-05,SAFE,2026-02-05,2026-02-06,2026-02-19T08:34:59+00:00,1771490099999,2026-02-19T08:35:00+00:00,1771490100000,0.1063,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7999999999999999,0.15634920634920635,173.68774736842104,0.0,0.2682718703425191,True,True,weak,True,0.30165289256198347,0.0971872
14-CYS-2026-02-13,CYS,2026-02-13,2026-02-14,2026-02-19T05:39:59+00:00,1771479599999,2026-02-19T05:40:00+00:00,1771479600000,0.4808,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7358638437276375,0.15488748241912786,3.736161362306909,0.0,0.3114757900840823,True,True,weak,True,0.2813696778553727,0.4456756
15-GWEI-2026-02-13,GWEI,2026-02-13,2026-02-14,2026-02-19T13:44:59+00:00,1771508699999,2026-02-19T13:45:00+00:00,1771508700000,0.026184,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6969767907927046,0.1501753019088431,3.2653398273528715,0.02469135802468748,0.4099835153513291,True,True,weak,True,0.1676142824653173,0.02427144
16-VELVET-2026-02-19,VELVET,2026-02-19,2026-02-20,2026-02-24T15:19:59+00:00,1771946399999,2026-02-24T15:20:00+00:00,1771946400000,0.0856,1.0,1.0,5m收盘距持仓最高价回撤15%,0.5144946445080131,0.152871287128713,0.1947367554755739,0.09016393442622876,0.3823563938937176,False,True,strong,False,0.2907348242811503,0.078563
17-JCT-2026-02-20,JCT,2026-02-20,2026-02-21,2026-02-24T05:54:59+00:00,1771912499999,2026-02-24T05:55:00+00:00,1771912500000,0.001642,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6245720457721519,0.17419678714859432,358.82142456132647,0.0036630036630033547,0.3903397335395742,False,True,strong,False,0.13375071143995432,0.00161644
18-JCT-2026-03-01,JCT,2026-03-01,2026-03-02,2026-03-06T07:19:59+00:00,1772781599999,2026-03-06T07:20:00+00:00,1772781600000,0.002024,0.25,0.25,多周期退出评分,0.7306536542480967,0.10318866253321535,0.41421337821265136,0.4565217391304385,0.35293256210611806,True,False,strong,False,0.5073431241655542,0.001503992
18-JCT-2026-03-01,JCT,2026-03-01,2026-03-02,2026-03-06T07:39:59+00:00,1772782799999,2026-03-06T07:40:00+00:00,1772782800000,0.001918,0.75,1.0,5m收盘距持仓最高价回撤15%,0.6006022220326879,0.15146147032772372,1.1399081690963841,0.23333333333333478,0.42689238680540625,True,False,strong,False,0.5073431241655542,0.001503992
19-GUA-2026-02-25,GUA,2026-02-25,2026-02-26,2026-02-27T15:09:59+00:00,1772204999999,2026-02-27T15:10:00+00:00,1772205000000,0.21685,1.0,1.0,保护止损,0.46664157000789375,0.1424786459981019,2.1309714497122267,0.004444444444448885,0.4766342786683107,False,True,weak,True,0.0722978416656066,0.2169636
20-SAFE-2026-02-20,SAFE,2026-02-20,2026-02-21,2026-02-23T03:29:59+00:00,1771817399999,2026-02-23T03:30:00+00:00,1771817400000,0.1009,1.0,1.0,保护止损,0.783333333333321,0.11267605633802824,0.19362963591855217,0.3333333333333025,0.12452499269219526,True,True,weak,True,0.03649635036496357,0.100832
21-GWEI-2026-03-10,GWEI,2026-03-10,2026-03-11,2026-03-13T15:24:59+00:00,1773415499999,2026-03-13T15:25:00+00:00,1773415500000,0.050465,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6668021785987873,0.15306002584282852,2.476265368041962,0.043010752688172504,0.4392075500800707,True,True,weak,False,0.16295544583439026,0.04714172
22-LAB-2026-03-11,LAB,2026-03-11,2026-03-12,2026-03-21T01:14:59+00:00,1774055699999,2026-03-21T01:15:00+00:00,1774055700000,0.18031,1.0,1.0,5m收盘距持仓最高价回撤15%,0.8446682544762909,0.1512826547422923,7.154050641323852,0.30222222222222817,0.43160515388259774,True,True,weak,True,0.4475028956871294,0.14735708
23-BLUAI-2026-03-12,BLUAI,2026-03-12,2026-03-13,2026-03-15T07:39:59+00:00,1773560399999,2026-03-15T07:40:00+00:00,1773560400000,0.006921,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6608419474225585,0.1507975460122698,1.674162926409049,0.04347826086953407,0.4101785224872772,True,True,weak,True,0.11111111111111094,0.0067482
24-VELVET-2026-03-17,VELVET,2026-03-17,2026-03-18,2026-03-22T08:09:59+00:00,1774166999999,2026-03-22T08:10:00+00:00,1774167000000,0.07756,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7194226833552414,0.15429879045439687,30.291591848119804,0.0,0.4708659749671377,True,True,weak,True,0.14741185296324089,0.0735816
25-BLUAI-2026-03-20,BLUAI,2026-03-20,2026-03-21,2026-03-22T17:24:59+00:00,1774200299999,2026-03-22T17:25:00+00:00,1774200300000,0.006918,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6358658078601227,0.24398775688675112,2.3708706199252987,0.07407407407407364,0.3479510590791753,True,False,strong,False,0.4525246109876151,0.006323192
26-LIGHT-2026-03-20,LIGHT,2026-03-20,2026-03-21,2026-03-23T04:49:59+00:00,1774241399999,2026-03-23T04:50:00+00:00,1774241400000,0.2541,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7570690167459073,0.15171723907969314,4.005736095483928,0.04166666666666972,0.25957925247998387,True,True,weak,False,0.33585746102449887,0.22539800000000002
