case_id,model_version,symbol,group,signal_date,entry_date,entry_price,initial_atr15m,initial_stop,exit_time_utc,weighted_exit_price,exit_events,last_exit_reason,gross_return_1x,net_return_1x,net_return_2x,mae_1x,mfe_until_exit_1x,theoretical_14d_mfe_1x,mfe_capture_ratio,old_net_return_1x,old_net_return_2x,new_minus_old_2x,right_censored_mark,coverage_ratio,decision_count
01-KGEN-2026-01-01,v2,KGEN,第二批20币,2026-01-01,2026-01-02,0.20576,0.0008692857142857153,0.1892992,2026-01-16T00:00:00+00:00,0.26432,1,持有满14天,0.2846034214618973,0.2794752640907918,0.5589505281815836,-0.04753110419906692,0.3846228615863141,0.3846228615863141,0.7399545109931767,0.025148575322139502,0.050297150644279004,0.5086533775373047,False,1.0,1
02-CYS-2026-01-01,v2,CYS,新增样本外,2026-01-01,2026-01-02,0.3517,0.006207142857142863,0.323564,2026-01-03T02:10:00+00:00,0.3221,1,保护止损,-0.08416263861245388,-0.08781867598326243,-0.17563735196652486,-0.10406596531134493,0.07989764003412003,0.5882854705715097,-0.14306428226196247,0.05151482647443241,0.10302965294886482,-0.27866700491538965,False,1.0,1
03-BLESS-2026-01-09,v2,BLESS,第二批20币,2026-01-09,2026-01-10,0.01201,8.28571428571432e-05,0.0110492,2026-01-15T12:35:00+00:00,0.01138,2,V2弱趋势分层回撤,-0.05245628642797673,-0.05623889606299465,-0.1124777921259893,-0.06744379683597002,0.12406328059950034,0.12406328059950034,-0.42281879194630934,0.013423610730246326,0.026847221460492652,-0.13932501358648194,False,1.0,2
04-B2-2026-01-10,v2,B2,第二批20币,2026-01-10,2026-01-11,0.6898,0.004399999999999992,0.634616,2026-01-25T00:00:00+00:00,0.7208,2,持有满14天,0.04494056248187883,0.04076914307077345,0.0815382861415469,-0.008843142939982562,0.23137141200347933,0.23137141200347933,0.19423558897243115,0.08740738297252997,0.17481476594505993,-0.09327647980351303,False,1.0,2
05-DEXE-2026-01-12,v2,DEXE,样本内,2026-01-12,2026-01-13,3.438,0.013214285714285718,3.16296,2026-01-16T15:30:00+00:00,3.158,1,保护止损,-0.08144269924374647,-0.08510959465594703,-0.17021918931189406,-0.09162303664921467,0.023851076207097144,0.023851076207097144,-3.4146341463414687,-0.10451987241340471,-0.20903974482680943,0.03882055551491537,False,1.0,1
06-SAFE-2026-01-14,v2,SAFE,第二批20币,2026-01-14,2026-01-15,0.1644,0.0008500000000000016,0.151248,2026-01-15T18:45:00+00:00,0.17072500000000002,2,V2弱趋势分层回撤,0.038473236009732625,0.03432763426917457,0.06865526853834913,-0.000608272506082641,0.22688564476885653,0.40815085158150866,0.09426229508196783,0.08143202645803296,0.16286405291606593,-0.09420878437771679,False,1.0,2
07-ZBT-2026-01-16,v2,ZBT,第二批20币,2026-01-16,2026-01-17,0.1077,0.0005428571428571445,0.099084,2026-01-19T00:05:00+00:00,0.0946,1,保护止损,-0.12163416898792945,-0.1251406194111313,-0.2502812388222626,-0.2089136490250697,0.0018570102135559985,0.0371402042711233,-3.2750000000000172,-0.1362382014059161,-0.2724764028118322,0.02219516398956961,False,1.0,1
08-AIA-2026-01-22,v2,AIA,第二批20币,2026-01-22,2026-01-23,0.21726,0.0044478571428571406,0.1998792,2026-01-23T11:25:00+00:00,0.21135,1,保护止损,-0.027202430267881827,-0.031085853699946098,-0.062171707399892195,-0.05698241738009757,0.2018779342723005,0.2018779342723005,-0.1347469220246239,-0.0019748774567224154,-0.003949754913444831,-0.05822195248644736,False,0.9786931818181818,1
09-CLO-2026-01-26,v2,CLO,新增样本外,2026-01-26,2026-01-27,0.3945,0.0036,0.36294000000000004,2026-01-27T08:05:00+00:00,0.3599,1,保护止损,-0.08770595690747784,-0.09134784929507267,-0.18269569859014534,-0.09556400506970852,0.009885931558935246,0.009885931558935246,-8.871794871794977,-0.15825332857731952,-0.31650665715463905,0.1338109585644937,False,1.0,1
10-BIRB-2026-02-01,v2,BIRB,样本内,2026-02-01,2026-02-02,0.2183,0.004066428571428572,0.200836,2026-02-05T05:25:00+00:00,0.309545,4,V2峰值回撤30%紧急退出,0.41797984425103074,0.41231924607038795,0.8246384921407759,-0.029134218964727454,0.8976179569399909,0.8976179569399909,0.46565450369992345,0.2363639189783513,0.4727278379567026,0.3519106541840733,False,0.8536931818181818,4
