signal_id,symbol,group,signal_date,f7c_share,rank,universe_count,status,status_reason,entry_date
1,KGEN,第二批20币,2026-01-01,0.25321253615770434,1,30,entered,次日开盘买入,2026-01-02
2,CYS,新增样本外,2026-01-01,0.0012372819927255908,2,30,entered,次日开盘买入,2026-01-02
3,BLESS,第二批20币,2026-01-09,0.26519540334881864,1,30,entered,次日开盘买入,2026-01-10
4,B2,第二批20币,2026-01-10,0.001196706624713785,2,30,entered,次日开盘买入,2026-01-11
5,DEXE,样本内,2026-01-12,0.0020604685359167586,2,30,entered,次日开盘买入,2026-01-13
6,SAFE,第二批20币,2026-01-14,0.002970772208968846,2,30,entered,次日开盘买入,2026-01-15
7,ZBT,第二批20币,2026-01-16,0.003893713140453066,2,30,entered,次日开盘买入,2026-01-17
8,AIA,第二批20币,2026-01-22,0.06345945342899463,1,31,entered,次日开盘买入,2026-01-23
9,CLO,新增样本外,2026-01-26,0.0019179063595594502,3,31,entered,次日开盘买入,2026-01-27
10,BIRB,样本内,2026-02-01,0.0010234723933301678,2,33,entered,次日开盘买入,2026-02-02
11,B2,第二批20币,2026-02-04,0.00275892416417615,1,33,entered,次日开盘买入,2026-02-05
12,SAFE,第二批20币,2026-02-05,0.0010710086626719289,2,33,entered,次日开盘买入,2026-02-06
13,SIREN,样本内,2026-02-10,0.0016564316823323047,2,33,entered,次日开盘买入,2026-02-11
14,GWEI,新增样本外,2026-02-13,0.0322017822019664,1,33,entered,次日开盘买入,2026-02-14
15,CYS,新增样本外,2026-02-13,0.0013516525970951833,3,33,entered,次日开盘买入,2026-02-14
16,VELVET,样本内,2026-02-19,0.007575111437309857,2,33,entered,次日开盘买入,2026-02-20
17,JCT,第二批20币,2026-02-20,0.06842191816400972,1,33,entered,次日开盘买入,2026-02-21
18,SAFE,第二批20币,2026-02-20,0.0016794353193683512,3,33,entered,次日开盘买入,2026-02-21
19,ZBT,第二批20币,2026-02-20,0.0010459541945979974,4,33,skipped_no_slot,组合已满3仓,
20,GUA,第二批20币,2026-02-25,0.003260473522322515,3,33,entered,次日开盘买入,2026-02-26
21,JCT,第二批20币,2026-03-01,0.06041344474648638,1,33,entered,次日开盘买入,2026-03-02
22,ZBT,第二批20币,2026-03-01,0.0018899331218226074,3,33,skipped_no_slot,组合已满3仓,
23,GWEI,新增样本外,2026-03-10,0.01798503793194932,1,33,entered,次日开盘买入,2026-03-11
24,LAB,第二批20币,2026-03-11,0.004512946606750367,2,33,entered,次日开盘买入,2026-03-12
25,BLUAI,第二批20币,2026-03-12,0.0011253002865462007,3,33,entered,次日开盘买入,2026-03-13
26,VELVET,样本内,2026-03-17,0.0031859100168834704,2,33,entered,次日开盘买入,2026-03-18
27,LIGHT,第二批20币,2026-03-20,0.012952880566471111,1,33,entered,次日开盘买入,2026-03-21
28,BLUAI,第二批20币,2026-03-20,0.006027796862051747,2,33,entered,次日开盘买入,2026-03-21
29,CYS,新增样本外,2026-03-21,0.002707620085173401,4,33,entered,次日开盘买入,2026-03-22
30,AIA,第二批20币,2026-03-25,0.014346267285630475,2,33,entered,次日开盘买入,2026-03-26
31,ZBT,第二批20币,2026-03-25,0.0010852413920986574,5,33,entered,次日开盘买入,2026-03-26
32,ZBT,第二批20币,2026-03-31,0.0021616624702024273,3,33,entered,次日开盘买入,2026-04-01
33,SAFE,第二批20币,2026-04-01,0.0011079848055132167,4,33,entered,次日开盘买入,2026-04-02
34,ZBT,第二批20币,2026-04-07,0.007006598438827036,1,33,entered,次日开盘买入,2026-04-08
35,SOON,样本外,2026-04-10,0.00930274253035162,1,33,entered,次日开盘买入,2026-04-11
36,CLO,新增样本外,2026-04-11,0.017451905929961098,1,33,entered,次日开盘买入,2026-04-12
37,BULLA,新增样本外,2026-04-11,0.009010243836663805,4,33,skipped_no_slot,组合已满3仓,
38,SAFE,第二批20币,2026-04-11,0.00227326973077501,5,33,skipped_no_slot,组合已满3仓,
39,LIGHT,第二批20币,2026-04-14,0.04037862655085746,1,33,entered,次日开盘买入,2026-04-15
40,RAVE,样本内,2026-04-21,0.011011933460792189,1,33,entered,次日开盘买入,2026-04-22
41,SOON,样本外,2026-04-21,0.0010861128522111942,2,33,entered,次日开盘买入,2026-04-22
42,JCT,第二批20币,2026-04-23,0.014615550788029277,1,33,entered,次日开盘买入,2026-04-24
43,SOON,样本外,2026-04-24,0.0014115922363879976,3,33,ignored_already_held,同币仍在持仓,
44,EVAA,新增样本外,2026-04-25,0.018364280722825817,1,33,entered,次日开盘买入,2026-04-26
45,BLUAI,第二批20币,2026-04-25,0.0016015835295085901,5,33,entered,次日开盘买入,2026-04-26
46,ZBT,第二批20币,2026-04-25,0.001506764512163288,6,33,skipped_no_slot,组合已满3仓,
47,SAFE,第二批20币,2026-04-27,0.0012575497387191956,6,33,skipped_no_slot,组合已满3仓,
48,ZBT,第二批20币,2026-05-06,0.00572155215937175,1,33,entered,次日开盘买入,2026-05-07
49,RAVE,样本内,2026-05-13,0.0012099651229538137,1,33,entered,次日开盘买入,2026-05-14
50,B2,第二批20币,2026-05-15,0.006129097473688439,1,33,entered,次日开盘买入,2026-05-16
51,BLUAI,第二批20币,2026-05-17,0.0011565561157903825,2,33,entered,次日开盘买入,2026-05-18
52,BLUAI,第二批20币,2026-05-20,0.0025228059657772394,2,33,entered,次日开盘买入,2026-05-21
53,GWEI,新增样本外,2026-05-22,0.017841522210905517,1,33,entered,次日开盘买入,2026-05-23
54,B2,第二批20币,2026-05-27,0.002175386245582034,2,33,entered,次日开盘买入,2026-05-28
55,ZBT,第二批20币,2026-06-04,0.0018809758382453449,1,33,entered,次日开盘买入,2026-06-05
56,VELVET,样本内,2026-06-06,0.006075277443292752,1,33,entered,次日开盘买入,2026-06-07
57,KGEN,第二批20币,2026-06-10,0.08618460840142313,1,33,entered,次日开盘买入,2026-06-11
58,BLUAI,第二批20币,2026-06-10,0.0021076932175733954,4,33,entered,次日开盘买入,2026-06-11
59,BLESS,第二批20币,2026-06-11,0.18562419598153465,1,33,skipped_no_slot,组合已满3仓,
60,AIA,第二批20币,2026-06-13,0.00610807694027275,3,33,entered,次日开盘买入,2026-06-14
61,ZBT,第二批20币,2026-06-13,0.0027806749570017386,4,33,entered,次日开盘买入,2026-06-14
62,SIREN,样本内,2026-06-15,0.002311488461707923,4,33,entered,次日开盘买入,2026-06-16
63,BIRB,样本内,2026-06-20,0.0011351407588898934,2,33,entered,次日开盘买入,2026-06-21
64,GWEI,新增样本外,2026-06-23,0.005823726568440732,1,33,entered,次日开盘买入,2026-06-24
65,ZBT,第二批20币,2026-06-23,0.002669581262990738,2,33,entered,次日开盘买入,2026-06-24
66,KGEN,第二批20币,2026-06-30,0.036833559843487386,1,33,entered,次日开盘买入,2026-07-01
67,COLLECT,第二批20币,2026-07-01,0.003959830948909633,2,33,entered,次日开盘买入,2026-07-02
68,BIRB,样本内,2026-07-03,0.002541394988213497,3,33,entered,次日开盘买入,2026-07-04
