minimum_f7c_share,top_fraction,maximum_hold_days,signal_episodes,closed_trades,win_rate,mean_trade_return,median_trade_return,trimmed_trade_return,portfolio_return,max_drawdown,average_exposure
0.0005,0.1,7,69,60,0.5666666666666667,0.011426734698128537,0.011142069940817404,-0.0003480823989487485,0.12751784543152622,-0.30145011861719195,0.37895772789179416
0.0005,0.1,14,69,60,0.5666666666666667,0.010217910044829933,0.008385379791628057,-0.0019253742509242717,0.09953789511041888,-0.30145011861719195,0.3902666403958664
0.0005,0.1,21,69,60,0.5666666666666667,0.010217910044829933,0.008385379791628057,-0.0019253742509242717,0.09953789511041888,-0.30145011861719195,0.3902666403958664
0.0005,0.2,7,71,65,0.47692307692307695,0.0032134912525311615,-0.0017018638308667134,-0.0023791471224958397,-0.012647663861746983,-0.28987531293147784,0.39105294997694434
0.0005,0.2,14,71,65,0.47692307692307695,0.0033740169819980086,-0.0017018638308665694,-0.0021822759448478102,-0.012511516151920477,-0.28987531293147784,0.41526726645653494
0.0005,0.2,21,71,64,0.484375,0.004102749224847454,-0.001517156209169021,-0.0013922265099339886,-0.0011816353491791443,-0.28987531293147784,0.4188249737052604
0.0005,0.3,7,74,65,0.46153846153846156,0.0005576345758358057,-0.0017075939863394171,-0.004953068125980386,-0.06281802852530294,-0.28987531293147784,0.3879715627260164
0.0005,0.3,14,74,65,0.46153846153846156,0.0007181603053026584,-0.0017075939863394171,-0.004756196948332355,-0.06307417664804005,-0.28987531293147784,0.41225449819623505
0.0005,0.3,21,74,64,0.46875,0.0014053947875787506,-0.00170472890860307,-0.004015645994254768,-0.05232442303246154,-0.28987531293147784,0.4158122054449605
0.001,0.1,7,57,49,0.5918367346938775,0.017374192819522394,0.01736657975078287,0.009433112568616698,0.20802170921641294,-0.2424209804156333,0.3061030345675247
0.001,0.1,14,57,49,0.5714285714285714,0.017090780658003003,0.01669276742990671,0.009016826578095759,0.19981401978494473,-0.2489054293196653,0.3267074780279361
0.001,0.1,21,57,49,0.5714285714285714,0.016775494352913194,0.01669276742990671,0.008640020993964033,0.19420313919290755,-0.24890542931966575,0.32801397794146603
0.001,0.2,7,56,50,0.56,0.020708950241460564,0.02321797490586945,0.021279691359974002,0.28393193576012576,-0.19775974032590637,0.3167357995466851
0.001,0.2,14,56,49,0.5714285714285714,0.022590187548275017,0.025148575322139502,0.023036344272788934,0.30863184889579554,-0.1977597403259067,0.3438937008510968
0.001,0.2,21,56,49,0.5714285714285714,0.022274901243185194,0.025148575322139502,0.022659538688657194,0.30236547022754934,-0.1977597403259066,0.3452316434490631
0.001,0.3,7,56,50,0.56,0.020708950241460564,0.02321797490586945,0.021279691359974002,0.28393193576012576,-0.19775974032590637,0.3167357995466851
0.001,0.3,14,56,49,0.5714285714285714,0.022590187548275017,0.025148575322139502,0.023036344272788934,0.30863184889579554,-0.1977597403259067,0.3438937008510968
0.001,0.3,21,56,49,0.5714285714285714,0.022274901243185194,0.025148575322139502,0.022659538688657194,0.30236547022754934,-0.1977597403259066,0.3452316434490631
0.002,0.1,7,46,41,0.5853658536585366,0.03388416354610664,0.031513456194819704,0.019782342842024594,0.42424994682534334,-0.19874486359596455,0.2569498579964152
0.002,0.1,14,46,41,0.5609756097560976,0.02921446471316561,0.021287374489599487,0.013884216119373361,0.34554466725750776,-0.19753194896888437,0.26744199921428824
0.002,0.1,21,46,41,0.5609756097560976,0.02921446471316561,0.021287374489599487,0.013884216119373361,0.34554466725750776,-0.19753194896888437,0.26744199921428824
0.002,0.2,7,51,44,0.5681818181818182,0.01938003677081504,0.028378263506043673,0.012890213579830246,0.227897162590446,-0.18645812970786269,0.2546139729611557
0.002,0.2,14,51,43,0.5581395348837209,0.014863871928267927,0.021287374489599376,0.007156358967815652,0.15149492293206634,-0.18645812970786269,0.26301297712899746
0.002,0.2,21,51,43,0.5581395348837209,0.014863871928267927,0.021287374489599376,0.007156358967815652,0.15149492293206634,-0.18645812970786269,0.26301297712899746
0.002,0.3,7,51,44,0.5681818181818182,0.01938003677081504,0.028378263506043673,0.012890213579830246,0.227897162590446,-0.18645812970786269,0.2546139729611557
0.002,0.3,14,51,43,0.5581395348837209,0.014863871928267927,0.021287374489599376,0.007156358967815652,0.15149492293206634,-0.18645812970786269,0.26301297712899746
0.002,0.3,21,51,43,0.5581395348837209,0.014863871928267927,0.021287374489599376,0.007156358967815652,0.15149492293206634,-0.18645812970786269,0.26301297712899746
