signal_id,symbol,group,signal_date,f7c_share,rank,universe_count,status,status_reason,entry_date
1,KGEN,第二批20币,2026-01-01,0.25321253615770434,1,19,entered,次日开盘买入,2026-01-02
2,BLESS,第二批20币,2026-01-09,0.26519540334881864,1,19,entered,次日开盘买入,2026-01-10
3,B2,第二批20币,2026-01-10,0.001196706624713785,2,19,entered,次日开盘买入,2026-01-11
4,SAFE,第二批20币,2026-01-14,0.002970772208968846,2,19,entered,次日开盘买入,2026-01-15
5,ZBT,第二批20币,2026-01-16,0.003893713140453066,2,19,entered,次日开盘买入,2026-01-17
6,AIA,第二批20币,2026-01-22,0.06345945342899463,1,20,entered,次日开盘买入,2026-01-23
7,B2,第二批20币,2026-02-04,0.00275892416417615,1,20,entered,次日开盘买入,2026-02-05
8,SAFE,第二批20币,2026-02-05,0.0010710086626719289,2,20,entered,次日开盘买入,2026-02-06
9,JCT,第二批20币,2026-02-20,0.06842191816400972,1,20,entered,次日开盘买入,2026-02-21
10,SAFE,第二批20币,2026-02-20,0.0016794353193683512,2,20,entered,次日开盘买入,2026-02-21
11,ZBT,第二批20币,2026-02-20,0.0010459541945979974,3,20,entered,次日开盘买入,2026-02-21
12,GUA,第二批20币,2026-02-25,0.003260473522322515,2,20,entered,次日开盘买入,2026-02-26
13,JCT,第二批20币,2026-03-01,0.06041344474648638,1,20,entered,次日开盘买入,2026-03-02
14,ZBT,第二批20币,2026-03-01,0.0018899331218226074,3,20,skipped_no_slot,组合已满3仓,
15,LAB,第二批20币,2026-03-11,0.004512946606750367,1,20,entered,次日开盘买入,2026-03-12
16,BLUAI,第二批20币,2026-03-12,0.0011253002865462007,2,20,entered,次日开盘买入,2026-03-13
17,LIGHT,第二批20币,2026-03-20,0.012952880566471111,1,20,entered,次日开盘买入,2026-03-21
18,BLUAI,第二批20币,2026-03-20,0.006027796862051747,2,20,entered,次日开盘买入,2026-03-21
19,AIA,第二批20币,2026-03-25,0.014346267285630475,2,20,entered,次日开盘买入,2026-03-26
20,ZBT,第二批20币,2026-03-25,0.0010852413920986574,4,20,entered,次日开盘买入,2026-03-26
21,ZBT,第二批20币,2026-03-31,0.0021616624702024273,3,20,entered,次日开盘买入,2026-04-01
22,SAFE,第二批20币,2026-04-01,0.0011079848055132167,3,20,entered,次日开盘买入,2026-04-02
23,ZBT,第二批20币,2026-04-07,0.007006598438827036,1,20,entered,次日开盘买入,2026-04-08
24,SAFE,第二批20币,2026-04-11,0.00227326973077501,2,20,entered,次日开盘买入,2026-04-12
25,LIGHT,第二批20币,2026-04-14,0.04037862655085746,1,20,entered,次日开盘买入,2026-04-15
26,JCT,第二批20币,2026-04-23,0.014615550788029277,1,20,entered,次日开盘买入,2026-04-24
27,BLUAI,第二批20币,2026-04-25,0.0016015835295085901,2,20,entered,次日开盘买入,2026-04-26
28,ZBT,第二批20币,2026-04-25,0.001506764512163288,3,20,entered,次日开盘买入,2026-04-26
29,SAFE,第二批20币,2026-04-27,0.0012575497387191956,4,20,entered,次日开盘买入,2026-04-28
30,ZBT,第二批20币,2026-05-06,0.00572155215937175,1,20,entered,次日开盘买入,2026-05-07
31,B2,第二批20币,2026-05-15,0.006129097473688439,1,20,entered,次日开盘买入,2026-05-16
32,BLUAI,第二批20币,2026-05-17,0.0011565561157903825,2,20,entered,次日开盘买入,2026-05-18
33,BLUAI,第二批20币,2026-05-20,0.0025228059657772394,2,20,entered,次日开盘买入,2026-05-21
34,B2,第二批20币,2026-05-27,0.002175386245582034,1,20,entered,次日开盘买入,2026-05-28
35,ZBT,第二批20币,2026-06-04,0.0018809758382453449,1,20,entered,次日开盘买入,2026-06-05
36,KGEN,第二批20币,2026-06-10,0.08618460840142313,1,20,entered,次日开盘买入,2026-06-11
37,BLUAI,第二批20币,2026-06-10,0.0021076932175733954,3,20,entered,次日开盘买入,2026-06-11
38,BLESS,第二批20币,2026-06-11,0.18562419598153465,1,20,entered,次日开盘买入,2026-06-12
39,AIA,第二批20币,2026-06-13,0.00610807694027275,3,20,entered,次日开盘买入,2026-06-14
40,ZBT,第二批20币,2026-06-13,0.0027806749570017386,4,20,entered,次日开盘买入,2026-06-14
41,ZBT,第二批20币,2026-06-23,0.002669581262990738,1,20,entered,次日开盘买入,2026-06-24
42,KGEN,第二批20币,2026-06-30,0.036833559843487386,1,20,entered,次日开盘买入,2026-07-01
43,COLLECT,第二批20币,2026-07-01,0.003959830948909633,2,20,entered,次日开盘买入,2026-07-02
44,AIA,第二批20币,2026-07-08,0.006258453157206378,1,20,entered,次日开盘买入,2026-07-09
45,GUA,第二批20币,2026-07-09,0.0013285843540219216,2,20,entered,次日开盘买入,2026-07-10
46,ZBT,第二批20币,2026-07-14,0.0042257521539341685,3,20,entered,次日开盘买入,2026-07-15
47,ZBT,第二批20币,2026-07-17,0.0010104160157023345,2,20,entered,次日开盘买入,2026-07-18
48,ZBT,第二批20币,2026-07-19,0.003384761380175076,1,20,ignored_already_held,同币仍在持仓,
49,BTR,第二批20币,2026-07-20,0.021281141066106516,1,20,entered,次日开盘买入,2026-07-21
50,BLUAI,第二批20币,2026-07-22,0.007619834540587599,2,20,entered,次日开盘买入,2026-07-23
51,SAFE,第二批20币,2026-07-22,0.0010619423398888083,3,20,entered,次日开盘买入,2026-07-23
52,AIA,第二批20币,2026-07-23,0.006255980534135406,2,20,entered,次日开盘买入,2026-07-24
53,ZBT,第二批20币,2026-07-23,0.002006326369483173,3,20,skipped_no_slot,组合已满3仓,
54,IDOL,第二批20币,2026-07-24,0.0020680728003619245,3,20,skipped_no_slot,组合已满3仓,
55,SAFE,第二批20币,2026-07-27,0.0037301407537923196,2,20,entered,次日开盘买入,2026-07-28
56,COLLECT,第二批20币,2026-07-28,0.00984295122996772,1,20,entered,次日开盘买入,2026-07-29
