symbol,signal_date,interval,entry_time_utc,entry_price,bars,peak_time_utc,peak_time_hk,peak_high,mfe,peak_bar_close,peak_bar_close_return,peak_close_drawdown,peak_volume_vs_prior20_median,peak_upper_wick_share,peak_taker_buy_share,next_open_time_utc,next_open_price,next_open_net_return,best_close_time_utc,best_close_price,best_close_gross_return,best_open_time_utc,best_open_price,best_open_net_return,close_change_after_5m,close_change_after_15m,close_change_after_30m,close_change_after_60m,close_change_after_120m,close_change_after_240m
CYS,2026-03-21,5m,2026-03-22T00:00+00:00,0.5711,4320,2026-03-22T21:20+00:00,2026-03-23T05:20+08:00,0.7695,0.34739975485904373,0.7657,0.3407459289091228,-0.004938271604938205,2.3042606238572776,0.12925170068026928,0.5534388404793507,2026-03-22T21:25+00:00,0.7658,0.3355680514299715,2026-03-22T21:20+00:00,0.7657,0.3407459289091228,2026-03-22T21:25+00:00,0.7658,0.3355680514299715,-0.10526315789473684,-0.1496669713987202,-0.1518871620739194,-0.14300639937312265,-0.19668277393234956,-0.19824996735013722
CYS,2026-03-21,15m,2026-03-22T00:00+00:00,0.5711,1440,2026-03-22T21:15+00:00,2026-03-23T05:15+08:00,0.7695,0.34739975485904373,0.6851,0.1996147784976361,-0.1096816114359973,8.693514988646543,0.24906716417910407,0.4172715657340693,2026-03-22T21:30+00:00,0.6851,0.19482589714634813,2026-03-22T21:00+00:00,0.7426,0.30029767116091755,2026-03-22T21:15+00:00,0.7428,0.29545566545074786,,-0.04174573055028474,-0.007444168734491274,-0.05123339658444026,-0.09254123485622534,-0.09735804991971986
CYS,2026-03-21,1h,2026-03-22T00:00+00:00,0.5711,360,2026-03-22T21:00+00:00,2026-03-23T05:00+08:00,0.7695,0.34739975485904373,0.68,0.1906846436701104,-0.11630929174788818,4.929234617718883,0.37867078825347716,0.46636474300618125,2026-03-22T22:00+00:00,0.68,0.18593141155965065,2026-03-22T20:00+00:00,0.7206,0.2617755209245316,2026-03-22T21:00+00:00,0.7205,0.25656409121871815,,,,-0.02382352941176491,-0.057794117647058774,-0.09220588235294125
CYS,2026-03-21,4h,2026-03-22T00:00+00:00,0.5711,90,2026-03-22T20:00+00:00,2026-03-23T04:00+08:00,0.7695,0.34739975485904373,0.6407,0.12187007529329352,-0.16738141650422345,2.7392707349997942,0.37816091954022985,0.4689738010566747,2026-03-23T00:00+00:00,0.6405,0.1170427486822887,2026-03-23T08:00+00:00,0.7162,0.2540710908772543,2026-03-23T12:00+00:00,0.7162,0.24906481905738498,,,,,,0.012486343062275695
BULLA,2026-04-11,5m,2026-04-12T00:00+00:00,0.006812,4320,2026-04-13T10:00+00:00,2026-04-13T18:00+08:00,0.012998,0.9081033470346445,0.011854,0.7401644157369347,-0.08801354054469912,29.31515568059476,0.7141073657927589,0.4980802572422184,2026-04-13T10:05+00:00,0.011854,0.7332176516022562,2026-04-20T06:00+00:00,0.01274,0.8702290076335877,2026-04-20T06:05+00:00,0.01274,0.8627630235711781,-0.021089927450649637,0.04901299139530968,-0.045976041842416104,-0.11169225577864017,-0.10696811202969458,-0.13244474439007936
BULLA,2026-04-11,15m,2026-04-12T00:00+00:00,0.006812,1440,2026-04-13T10:00+00:00,2026-04-13T18:00+08:00,0.012998,0.9081033470346445,0.012395,0.8195830886670581,-0.046391752577319534,15.835659585406814,0.30702647657841126,0.49721289704506516,2026-04-13T10:15+00:00,0.012397,0.812611711398108,2026-04-13T10:00+00:00,0.012395,0.8195830886670581,2026-04-13T10:15+00:00,0.012397,0.812611711398108,,-0.06704316256555065,-0.12835820895522387,-0.10835014118596209,-0.15062525211778943,-0.17563533682936672
BULLA,2026-04-11,1h,2026-04-12T00:00+00:00,0.006812,360,2026-04-13T10:00+00:00,2026-04-13T18:00+08:00,0.012998,0.9081033470346445,0.010474,0.5375807398708163,-0.19418372057239563,3.113680046106034,0.5676855895196505,0.5017151222768558,2026-04-13T11:00+00:00,0.010473,0.5312964792669501,2026-04-19T18:00+00:00,0.011956,0.7551379917792129,2026-04-19T19:00+00:00,0.011956,0.7481314528898748,,,,0.01565781936223032,-0.03265228184074853,-0.03227038380752356
BULLA,2026-04-11,4h,2026-04-12T00:00+00:00,0.006812,90,2026-04-13T08:00+00:00,2026-04-13T16:00+08:00,0.012998,0.9081033470346445,0.010638,0.5616559013505578,-0.18156639482997383,1.315088921916887,0.49831081081081074,0.5031350516399602,2026-04-13T12:00+00:00,0.010642,0.5560066010082008,2026-04-23T12:00+00:00,0.011132,0.6341749853200234,2026-04-23T16:00+00:00,0.01113,0.6273589052077875,,,,,,-0.09719872156420384
VELVET,2026-06-06,5m,2026-06-07T00:00+00:00,0.18493,4320,2026-06-12T02:10+00:00,2026-06-12T10:10+08:00,1.922,9.393121721732546,1.87316,9.129021792029416,-0.025411030176899052,1.8288934713251888,0.3570958543540254,0.5722059761452846,2026-06-12T02:15+00:00,1.87319,9.088748151239832,2026-06-12T02:10+00:00,1.87316,9.129021792029416,2026-06-12T02:15+00:00,1.87319,9.088748151239832,-0.02198957910696353,-0.05152256080633788,-0.03397467381323538,-0.08638877618569685,-0.10239915437015523,-0.21288090713019714
VELVET,2026-06-06,15m,2026-06-07T00:00+00:00,0.18493,1440,2026-06-12T02:00+00:00,2026-06-12T10:00+08:00,1.922,9.393121721732546,1.87316,9.129021792029416,-0.025411030176899052,0.983724095956943,0.30428010715843257,0.5457770156490154,2026-06-12T02:15+00:00,1.87319,9.088748151239832,2026-06-12T02:00+00:00,1.87316,9.129021792029416,2026-06-12T02:15+00:00,1.87319,9.088748151239832,,-0.05152256080633788,-0.03397467381323538,-0.08638877618569685,-0.10239915437015523,-0.21288090713019714
