case_id,symbol,signal_date,entry_date,decision_time_utc,decision_close_time_ms,execution_time_utc,execution_open_time_ms,execution_price,sold_fraction,cumulative_sold_fraction,reason,score,drawdown,volume_ratio,upper_wick_share,taker_buy_share,failure15,weak1h,regime4h,weak4h_confirmed,mfe_at_decision,active_stop
01-CYS-2026-01-01,CYS,2026-01-01,2026-01-02,2026-01-03T02:09:59+00:00,1767406199999,2026-01-03T02:10:00+00:00,1767406200000,0.3221,1.0,1.0,保护止损,0.6106698899081159,0.15192206424433918,7.152501278946003,0.0,0.37624820256796343,False,True,strong,False,0.07989764003412003,0.323564
02-DEXE-2026-01-12,DEXE,2026-01-12,2026-01-13,2026-01-16T15:29:59+00:00,1768577399999,2026-01-16T15:30:00+00:00,1768577400000,3.158,1.0,1.0,保护止损,0.8032640863852354,0.10312500000000002,4.88008338275199,0.12500000000000464,0.08117974287025922,True,True,weak,True,0.023851076207097144,3.16296
03-CLO-2026-01-26,CLO,2026-01-26,2026-01-27,2026-01-27T08:04:59+00:00,1769501099999,2026-01-27T08:05:00+00:00,1769501100000,0.3599,1.0,1.0,保护止损,0.7175625050104988,0.09638554216867468,5.675187749722821,0.01449275362319482,0.41073238699403963,True,True,weak,True,0.009885931558935246,0.36294000000000004
04-BIRB-2026-02-01,BIRB,2026-02-01,2026-02-02,2026-02-03T07:04:59+00:00,1770102299999,2026-02-03T07:05:00+00:00,1770102300000,0.33439,0.25,0.25,多周期退出评分,0.7855711422845691,0.14245058072455963,37.00313060147851,0.4639278557114229,0.5126403892520431,True,False,strong,False,0.7866697205680258,0.21917319999999998
04-BIRB-2026-02-01,BIRB,2026-02-01,2026-02-02,2026-02-03T09:49:59+00:00,1770112199999,2026-02-03T09:50:00+00:00,1770112200000,0.34847,0.75,1.0,5m收盘距持仓最高价回撤15%,0.5318154147713007,0.15847917923958954,1.4395013454692944,0.13504074505238606,0.4938990417808689,True,False,strong,False,0.8976179569399909,0.21917319999999998
05-SIREN-2026-02-10,SIREN,2026-02-10,2026-02-11,2026-02-11T21:49:59+00:00,1770846599999,2026-02-11T21:50:00+00:00,1770846600000,0.09927,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6863636363636371,0.152526459542506,0.8589951430633936,0.09090909090909255,0.3309000858457327,True,True,weak,True,0.16264761337699718,0.0927084
06-CYS-2026-02-13,CYS,2026-02-13,2026-02-14,2026-02-19T05:39:59+00:00,1771479599999,2026-02-19T05:40:00+00:00,1771479600000,0.4808,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7358638437276375,0.15488748241912786,3.736161362306909,0.0,0.3114757900840823,True,True,weak,True,0.2813696778553727,0.4456756
07-GWEI-2026-02-13,GWEI,2026-02-13,2026-02-14,2026-02-19T13:44:59+00:00,1771508699999,2026-02-19T13:45:00+00:00,1771508700000,0.026184,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6969767907927046,0.1501753019088431,3.2653398273528715,0.02469135802468748,0.4099835153513291,True,True,weak,True,0.1676142824653173,0.02427144
08-VELVET-2026-02-19,VELVET,2026-02-19,2026-02-20,2026-02-24T15:19:59+00:00,1771946399999,2026-02-24T15:20:00+00:00,1771946400000,0.0856,1.0,1.0,5m收盘距持仓最高价回撤15%,0.5144946445080131,0.152871287128713,0.1947367554755739,0.09016393442622876,0.3823563938937176,False,True,strong,False,0.2907348242811503,0.078563
09-GWEI-2026-03-10,GWEI,2026-03-10,2026-03-11,2026-03-13T15:24:59+00:00,1773415499999,2026-03-13T15:25:00+00:00,1773415500000,0.050465,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6668021785987873,0.15306002584282852,2.476265368041962,0.043010752688172504,0.4392075500800707,True,True,weak,False,0.16295544583439026,0.04714172
