minimum_f7c_share,top_fraction,maximum_hold_days,signal_episodes,closed_trades,win_rate,mean_trade_return,median_trade_return,trimmed_trade_return,portfolio_return,max_drawdown,average_exposure
0.0005,0.1,7,38,36,0.4444444444444444,-0.019766878993029133,-0.050842612613684626,-0.037052926813730236,-0.27370864628329516,-0.6963004404035955,0.17504722909474582
0.0005,0.1,14,38,36,0.4722222222222222,-0.019096586791763782,-0.05084261261368474,-0.03624857617221181,-0.26851448381704257,-0.6963004404035955,0.1778634824218486
0.0005,0.1,21,38,36,0.4722222222222222,-0.019096586791763782,-0.05084261261368474,-0.03624857617221181,-0.26851448381704257,-0.6963004404035955,0.1778634824218486
0.0005,0.2,7,36,35,0.4857142857142857,-0.0010903972225394802,-0.0070430011600303224,-0.02451589723125148,-0.10797008854659917,-0.6963004404035955,0.17756140416311586
0.0005,0.2,14,36,35,0.5142857142857142,-0.0004009538155237017,0.012685543999528575,-0.023683810360715197,-0.10159062628102966,-0.6963004404035956,0.1803776574902186
0.0005,0.2,21,36,35,0.5142857142857142,-0.0004009538155237017,0.012685543999528575,-0.023683810360715197,-0.10159062628102966,-0.6963004404035956,0.1803776574902186
0.0005,0.3,7,36,35,0.4857142857142857,-0.0010903972225394802,-0.0070430011600303224,-0.02451589723125148,-0.10797008854659917,-0.6963004404035955,0.17756140416311586
0.0005,0.3,14,36,35,0.5142857142857142,-0.0004009538155237017,0.012685543999528575,-0.023683810360715197,-0.10159062628102966,-0.6963004404035956,0.1803776574902186
0.0005,0.3,21,36,35,0.5142857142857142,-0.0004009538155237017,0.012685543999528575,-0.023683810360715197,-0.10159062628102966,-0.6963004404035956,0.1803776574902186
0.001,0.1,7,28,26,0.46153846153846156,-0.011560276830162574,-0.05084261261368457,-0.041534433465605265,-0.1786181385708011,-0.7055524782945027,0.13151955665955584
0.001,0.1,14,28,26,0.46153846153846156,-0.011560276830162574,-0.05084261261368457,-0.041534433465605265,-0.1786181385708011,-0.7055524782945027,0.13151955665955584
0.001,0.1,21,28,26,0.46153846153846156,-0.011560276830162574,-0.05084261261368457,-0.041534433465605265,-0.1786181385708011,-0.7055524782945027,0.13151955665955584
0.001,0.2,7,28,26,0.5,0.010121219283399359,-0.01788944995101109,-0.02237836613583571,-0.024454272449153103,-0.7055524782945028,0.13535334487369455
0.001,0.2,14,28,26,0.5,0.010121219283399359,-0.01788944995101109,-0.02237836613583571,-0.024454272449153103,-0.7055524782945028,0.13535334487369455
0.001,0.2,21,28,26,0.5,0.010121219283399359,-0.01788944995101109,-0.02237836613583571,-0.024454272449153103,-0.7055524782945028,0.13535334487369455
0.001,0.3,7,28,26,0.5,0.010121219283399359,-0.01788944995101109,-0.02237836613583571,-0.024454272449153103,-0.7055524782945028,0.13535334487369455
0.001,0.3,14,28,26,0.5,0.010121219283399359,-0.01788944995101109,-0.02237836613583571,-0.024454272449153103,-0.7055524782945028,0.13535334487369455
0.001,0.3,21,28,26,0.5,0.010121219283399359,-0.01788944995101109,-0.02237836613583571,-0.024454272449153103,-0.7055524782945028,0.13535334487369455
0.002,0.1,7,18,17,0.5294117647058824,0.008684448407742023,0.012685543999528516,-0.03781796430473485,-0.05446451581193135,-0.6623634048966343,0.09374634939977457
0.002,0.1,14,18,17,0.5294117647058824,0.008684448407742023,0.012685543999528516,-0.03781796430473485,-0.05446451581193135,-0.6623634048966343,0.09374634939977457
0.002,0.1,21,18,17,0.5294117647058824,0.008684448407742023,0.012685543999528516,-0.03781796430473485,-0.05446451581193135,-0.6623634048966343,0.09374634939977457
0.002,0.2,7,19,18,0.5555555555555556,0.029238053311535905,0.012938526178308131,-0.011788757993436972,0.06309350771233113,-0.6623634048966341,0.09709593312103607
0.002,0.2,14,19,18,0.5555555555555556,0.029238053311535905,0.012938526178308131,-0.011788757993436972,0.06309350771233113,-0.6623634048966341,0.09709593312103607
0.002,0.2,21,19,18,0.5555555555555556,0.029238053311535905,0.012938526178308131,-0.011788757993436972,0.06309350771233113,-0.6623634048966341,0.09709593312103607
0.002,0.3,7,19,18,0.5555555555555556,0.029238053311535905,0.012938526178308131,-0.011788757993436972,0.06309350771233113,-0.6623634048966341,0.09709593312103607
0.002,0.3,14,19,18,0.5555555555555556,0.029238053311535905,0.012938526178308131,-0.011788757993436972,0.06309350771233113,-0.6623634048966341,0.09709593312103607
0.002,0.3,21,19,18,0.5555555555555556,0.029238053311535905,0.012938526178308131,-0.011788757993436972,0.06309350771233113,-0.6623634048966341,0.09709593312103607
