signal_id,symbol,group,signal_date,f7c_share,rank,universe_count,status,status_reason,entry_date
1,CYS,新增样本外,2026-01-01,0.0012372819927255908,1,11,entered,次日开盘买入,2026-01-02
2,DEXE,样本内,2026-01-12,0.0020604685359167586,1,11,entered,次日开盘买入,2026-01-13
3,CLO,新增样本外,2026-01-26,0.0019179063595594502,1,11,entered,次日开盘买入,2026-01-27
4,BIRB,样本内,2026-02-01,0.0010234723933301678,2,13,entered,次日开盘买入,2026-02-02
5,SIREN,样本内,2026-02-10,0.0016564316823323047,1,13,entered,次日开盘买入,2026-02-11
6,GWEI,新增样本外,2026-02-13,0.0322017822019664,1,13,entered,次日开盘买入,2026-02-14
7,CYS,新增样本外,2026-02-13,0.0013516525970951833,3,13,entered,次日开盘买入,2026-02-14
8,VELVET,样本内,2026-02-19,0.007575111437309857,2,13,entered,次日开盘买入,2026-02-20
9,GWEI,新增样本外,2026-03-10,0.01798503793194932,1,13,entered,次日开盘买入,2026-03-11
10,VELVET,样本内,2026-03-17,0.0031859100168834704,1,13,entered,次日开盘买入,2026-03-18
11,CYS,新增样本外,2026-03-21,0.002707620085173401,2,13,entered,次日开盘买入,2026-03-22
12,SOON,样本外,2026-04-10,0.00930274253035162,1,13,entered,次日开盘买入,2026-04-11
13,CLO,新增样本外,2026-04-11,0.017451905929961098,1,13,entered,次日开盘买入,2026-04-12
14,BULLA,新增样本外,2026-04-11,0.009010243836663805,3,13,entered,次日开盘买入,2026-04-12
15,RAVE,样本内,2026-04-21,0.011011933460792189,1,13,entered,次日开盘买入,2026-04-22
16,SOON,样本外,2026-04-21,0.0010861128522111942,2,13,entered,次日开盘买入,2026-04-22
17,SOON,样本外,2026-04-24,0.0014115922363879976,2,13,ignored_already_held,同币仍在持仓,
18,EVAA,新增样本外,2026-04-25,0.018364280722825817,1,13,entered,次日开盘买入,2026-04-26
19,RAVE,样本内,2026-05-13,0.0012099651229538137,1,13,entered,次日开盘买入,2026-05-14
20,GWEI,新增样本外,2026-05-22,0.017841522210905517,1,13,entered,次日开盘买入,2026-05-23
21,VELVET,样本内,2026-06-06,0.006075277443292752,1,13,entered,次日开盘买入,2026-06-07
22,SIREN,样本内,2026-06-15,0.002311488461707923,1,13,entered,次日开盘买入,2026-06-16
23,BIRB,样本内,2026-06-20,0.0011351407588898934,2,13,entered,次日开盘买入,2026-06-21
24,GWEI,新增样本外,2026-06-23,0.005823726568440732,1,13,entered,次日开盘买入,2026-06-24
25,BIRB,样本内,2026-07-03,0.002541394988213497,1,13,entered,次日开盘买入,2026-07-04
26,ESPORTS,样本外,2026-07-09,0.0019157217270335076,1,13,entered,次日开盘买入,2026-07-10
27,DEXE,样本内,2026-07-22,0.004521857551951475,1,13,entered,次日开盘买入,2026-07-23
28,BULLA,新增样本外,2026-07-29,0.004375303792047763,1,8,unexecuted_sample_end,样本末无次日开盘,
