rank,symbol,base_asset,project_name,chain,external_chain_id,contract_address,candidate_score,market_cap_usd,is_meme,event_count,max_volume_ratio,server_kline_available,server_kline_date,pg_state,pg_membership_status,pg_holder_count,pg_relationship_count,pg_transfer_member_count,pg_transfer_event_count
1,ZEREBROUSDT,ZEREBRO,zerebro,solana,CT_501,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,212.5313926596282,39645798.76761253,True,42,105.87310131388156,True,2026-08-03,pg_ready,success,300,260,157,1881
2,TSTUSDT,TST,Test Token,bsc,56,0x86bb94ddd16efc8bc58e6b056e8df71d9e666429,207.93935220684136,9431302.555430152,True,29,290.76041285210783,True,2026-08-03,pg_missing,,,,,
3,TACUSDT,TAC,TAC Token,ton,CT_607,UQBE_gBrU3mPI9hHjlJoR_kYyrhQgyCFD6EUWfa42W8T7B2K,206.45973258136775,12798370.60737508,False,39,287.53128712629285,True,2026-08-03,pg_missing,,,,,
4,FHEUSDT,FHE,Mind Network,bsc,56,0xd55c9fb62e176a8eb6968f32958fefdd0962727e,205.18572885982218,18467374.11319455,False,42,236.70976119970618,True,2026-08-03,pg_ready,success,300,310,186,5865
5,SAPIENUSDT,SAPIEN,Sapien,base,8453,0xc729777d0470f30612b1564fd96e8dd26f5814e3,205.00265196869563,19466584.471010584,False,22,238.42048707677023,True,2026-08-03,pg_ready,success,300,259,147,8785
6,TNSRUSDT,TNSR,Tensor,solana,CT_501,TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6,204.27283167435925,24016919.114095416,False,22,1077.3632840658136,True,2026-08-03,pg_ready,success,300,137,76,919
7,NILUSDT,NIL,Nillion,eth,1,0x7cf9a80db3b29ee8efe3710aadb7b95270572d47,203.02424867764148,34402513.18851809,False,19,183.07643093729618,True,2026-08-03,pg_ready,success,300,261,217,9979
8,BANKUSDT,BANK,Lorenzo Governance Token,bsc,56,0x3aee7602b612de36088f3ffed8c8f10e86ebf2bf,200.9840897998994,61888510.39796355,False,46,800.1057010213958,True,2026-08-03,pg_latest_failed,unavailable,0,0,0,0
9,BASUSDT,BAS,BNB Attestation,bsc,56,0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37,200.60586207414684,69006260.84082167,False,39,82.60656171730416,True,2026-08-03,pg_ready,success,300,175,120,4224
10,PIPPINUSDT,PIPPIN,Pippin,solana,CT_501,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,199.6501013967224,17297120.53046314,True,41,94.15713895146212,True,2026-08-03,pg_ready,success,300,353,150,6197
11,ALLOUSDT,ALLO,Allora,bsc,56,0xcce5f304fd043d6a4e8ccb5376a4a4fb583b98d5,197.05962116864907,3442204.1336530726,False,24,471.4187561622052,True,2026-08-03,pg_ready,success,300,73,65,288
12,ACTUSDT,ACT,Act I : The AI Prophecy,solana,CT_501,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,195.4889168870716,8518482.634410882,True,19,216.1743884079753,True,2026-08-03,pg_missing,,,,,
13,PUMPBTCUSDT,PUMPBTC,pumpBTC Governance Token,bsc,56,0xb7c0007ab75350c582d5eab1862b872b5cf53f0c,194.67084785651627,5356831.793455685,False,36,216.66536572028733,True,2026-08-03,pg_missing,,,,,
14,TRADOORUSDT,TRADOOR,Tradoor,bsc,56,0x9123400446a56176eb1b6be9ee5cf703e409f492,194.58138119613588,33086031.86178686,False,38,134.73007558675403,True,2026-08-03,pg_ready,success,300,244,161,3366
15,CROSSUSDT,CROSS,CROSS Protocol,bsc,56,0x6bf62ca91e397b5a7d1d6bce97d9092065d7a510,194.0346121183292,98050871.09597391,False,18,161.23585270119898,True,2026-08-03,pg_ready,success,300,148,85,2110
16,BICOUSDT,BICO,Biconomy Token,eth,1,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,193.51979681476627,22282933.784289807,False,21,443.7015031403908,True,2026-08-03,pg_ready,success,300,279,146,12270
