project_name,symbol,base_asset,listing_date_utc,listing_age_days,quote_volume_usd,change_24h_pct,intraday_range_pct,trade_count_24h,market_cap_usd,web3_liquidity_usd,chain_id,contract_address,web3_tags,spot_usdt_trading,risk_score
Perle,PRLUSDT,PRL,2026-04-01,119.7,18805199.1824,24.577,27.714285714285737,310786,14084422.74411992,1465667.2524605142,56,0xd20fb09a49a8e75fef536a2dbc68222900287bac,Alpha,False,46.17992946660358
SOON,SOONUSDT,SOON,2025-05-23,432.8,53649387.0516,-27.629,45.62236286919832,880364,119353488.03142017,502957.44710365887,56,0xb9e1fd5a02d3a33b25a14d661414e6ed6954a721,Alpha,False,45.445899870188946
Yooldo,ESPORTSUSDT,ESPORTS,2025-07-29,365.7,27516955.77779,-16.341,32.902033271719056,501178,19359680.17155239,1397798.7284869805,56,0xf39e4b21c84e737df08e2c3b32541d856f508e48,Token Volume Surging|Alpha,False,41.15053494694169
Cysic,CYSUSDT,CYS,2025-12-12,229.7,5224567.767,-6.101,37.92788680967596,124646,136246254.1238826,1314267.7791766492,56,0x0c69199c1562233640e0db5ce2c399a88eb507c7,Alpha,False,40.932294600925836
Starpower Network,STARUSDT,STAR,2026-05-14,76.9,2159958.21284,-5.101,17.417575200315238,50660,9229727.279679053,1349016.5341069514,56,0x8fce7206e3043dd360f115afa956ee31b90b787c,Alpha,False,37.19838093258993
Koma Inu,KOMAUSDT,KOMA,2024-12-10,596.6,4100645.033035,17.15,21.36943093704824,86982,5448797.720440648,1564077.7095772298,56,0xd5eaaac47bd1993d661bc087e15dfb079a7f3c19,Token Volume Surging|Alpha,False,36.60609753556157
Block Street,BSBUSDT,BSB,2026-03-25,126.6,7776131.14468,9.3,12.339950158975688,207308,8394041.602064256,1547482.495459394,56,0x595deaad1eb5476ff1e649fdb7efc36f1e4679cc,4x Alpha Points|Alpha,False,35.37663716571214
Cap,CAPUSDT,CAP,2026-06-27,32.6,11235406.99838,-1.94,19.707057256990666,244608,40940174.50246149,977025.2125226449,56,0x99991c6aabba5a096f24f250b73580f5179b9999,Alpha,False,35.06222880794587
Re Protocol,REUSDT,RE,2026-06-18,41.6,66182856.3059,18.505,31.98410727588774,897812,492188056.0440549,19755.935720889163,1,0x526526528f35ac738177003b8773b402b8df8143,TGE,True,34.62562355765066
BULLA,BULLAUSDT,BULLA,2025-07-04,390.8,14191474.676855,6.238,22.947645065357225,314718,16726167.659733772,307088.1571091858,56,0x595e21b20e78674f8a64c1566a20b2b316bc3511,Alpha|DEX Paid,False,34.0477183234833
KGeN,KGENUSDT,KGEN,2025-10-07,295.5,5080838.27586,10.261,14.47674418604652,77253,14214589.370818334,754559.7216617627,56,0xf3d5b4c34ed623478cc5141861776e6cf7ae3a1e,Alpha,False,33.89017967408276
EVAA,EVAAUSDT,EVAA,2025-10-03,299.7,9272170.9783,-9.215,16.574034487672783,321309,21555345.2635633,340941.7814220929,56,0xaa036928c9c0df07d525b55ea8ee690bb5a628c1,Alpha|DEX Paid,False,33.53255745141997
RaveDAO,RAVEUSDT,RAVE,2025-12-14,227.5,7185008.339,6.473,13.38467180051337,106045,9935841.574035829,1719005.0212347119,56,0x97693439ea2f0ecdeb9135881e49f354656a911c,Alpha,False,33.30270932563307
Safe Token,SAFEUSDT,SAFE,2024-10-25,642.6,4928528.77382,19.775,21.80082883335426,159091,95732602.90185046,198579.89047322609,1,0x5afe3855358e112b5647b952709e6165e1c1eeee,Token Volume Surging|Alpha,False,33.28833135838279
Moonbirds,BIRBUSDT,BIRB,2026-01-29,181.9,6506111.33702,-9.352,13.590391908975974,112075,48637221.279201135,1503382.9585078699,CT_501,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,Alpha|DEX Paid,False,33.01261037802399
Billions Network,BILLUSDT,BILL,2026-05-07,83.8,5637336.87994,-1.749,9.078771695594124,116794,4230852.708997657,1461095.4948308133,56,0xdf24f8c21cb404b3031a450d8e049d6e39fc1fa5,Alpha,False,32.91629140136534
ETHGas,GWEIUSDT,GWEI,2026-01-29,181.9,12112390.87364,-0.884,13.667041619797505,262013,4321445.0536311865,1331704.3899773085,56,0x30117e4bc17d7b044194b76a38365c53b72f7d49,Alpha,False,32.78881966391462
Zama,ZAMAUSDT,ZAMA,2026-01-09,201.8,54737483.33633,-9.37,26.86943045331269,899010,13016469.642080765,1378205.1720993388,56,0x6907a5986c4950bdaf2f81828ec0737ce787519f,Token Volume Surging|TGE,True,32.580791858992974
